@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_ctd

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.053201,0.023736,0.011005,0.010011,blues
0.036493,0.026511,0.018633,0.021492,blues
0.055654,0.02557,0.013872,0.019041,blues
0.02266,0.013035,0.008038,0.005009,blues
0.088578,0.034324,0.032691,0.017193,blues
0.082141,0.042764,0.06134,0.046111,blues
0.053849,0.029737,0.023125,0.019778,blues
0.042773,0.017998,0.020606,0.016145,blues
0.042179,0.023372,0.010129,0.008558,blues
0.058811,0.030731,0.019284,0.023029,blues
0.053895,0.016057,0.017524,0.007041,blues
0.033264,0.031548,0.015461,0.026534,blues
0.057679,0.028485,0.033773,0.019148,blues
0.038443,0.020637,0.020013,0.016112,blues
0.031492,0.019433,0.023548,0.014355,blues
0.05289,0.029142,0.031343,0.021549,blues
0.046084,0.026678,0.02396,0.015419,blues
0.03691,0.020212,0.01685,0.011596,blues
0.039548,0.020986,0.029337,0.019363,blues
0.047016,0.021573,0.02584,0.018207,blues
0.037589,0.018845,0.013357,0.009889,blues
0.041122,0.025527,0.031974,0.023227,blues
0.041339,0.023609,0.02846,0.02079,blues
0.042629,0.01759,0.024569,0.014893,blues
0.03518,0.017836,0.019352,0.011573,blues
0.037265,0.021982,0.023958,0.019065,blues
0.038399,0.020803,0.025077,0.015279,blues
0.049084,0.022367,0.029595,0.019969,blues
0.041103,0.018775,0.019875,0.012438,blues
0.040176,0.038978,0.023119,0.046633,blues
0.031095,0.024189,0.012007,0.02587,blues
0.033045,0.020982,0.012014,0.023593,blues
0.033317,0.033307,0.026716,0.050747,blues
0.032333,0.022357,0.013946,0.025178,blues
0.033111,0.018472,0.010873,0.013034,blues
0.03428,0.016523,0.008191,0.01254,blues
0.027895,0.009917,0.006933,0.0063,blues
0.03965,0.022191,0.021333,0.015217,blues
0.032256,0.020862,0.017039,0.036097,blues
0.026425,0.015399,0.009568,0.018983,blues
0.059858,0.032864,0.01846,0.009779,blues
0.0618,0.034478,0.017303,0.014505,blues
0.064928,0.027823,0.025482,0.008939,blues
0.053228,0.028244,0.018395,0.010101,blues
0.052041,0.024647,0.013253,0.007633,blues
0.023121,0.008704,0.003733,0.002296,blues
0.030542,0.018764,0.008039,0.007142,blues
0.038508,0.016509,0.008257,0.008083,blues
0.063216,0.032089,0.020682,0.011261,blues
0.028462,0.015037,0.00989,0.009944,blues
0.05459,0.029175,0.01905,0.012254,blues
0.067986,0.027895,0.011623,0.00661,blues
0.040851,0.029638,0.025088,0.021143,blues
0.099607,0.044402,0.030907,0.011916,blues
0.071646,0.039522,0.022004,0.013479,blues
0.082418,0.042246,0.034016,0.015081,blues
0.04298,0.02722,0.01715,0.011032,blues
0.05875,0.036166,0.019366,0.010317,blues
0.073178,0.035327,0.021632,0.012819,blues
0.108281,0.059354,0.03857,0.017745,blues
0.063798,0.032544,0.023751,0.008539,blues
0.117802,0.059403,0.028515,0.010154,blues
0.090344,0.045601,0.041132,0.022138,blues
0.112069,0.052637,0.037265,0.019508,blues
0.102595,0.03958,0.017891,0.010163,blues
0.110441,0.044105,0.040644,0.021033,blues
0.091461,0.050886,0.035573,0.023416,blues
0.085099,0.039207,0.021583,0.014832,blues
0.094774,0.040856,0.021699,0.010148,blues
0.089727,0.035757,0.034093,0.015386,blues
0.078395,0.035425,0.026793,0.023879,blues
0.0928,0.035236,0.020865,0.010392,blues
0.083957,0.04131,0.025965,0.020289,blues
0.065167,0.027869,0.012932,0.008026,blues
0.077013,0.042025,0.014732,0.019041,blues
0.071419,0.046934,0.033257,0.021962,blues
0.094193,0.051704,0.023458,0.01642,blues
0.077608,0.035941,0.018774,0.010619,blues
0.087688,0.032223,0.013523,0.004091,blues
0.083518,0.037959,0.015708,0.012051,blues
0.067347,0.031187,0.015693,0.008183,blues
0.090457,0.029368,0.01758,0.004781,blues
0.075109,0.024627,0.011019,0.006291,blues
0.078847,0.041054,0.016503,0.00652,blues
0.080005,0.039363,0.014541,0.021861,blues
0.047205,0.024433,0.028771,0.01293,blues
0.039253,0.037097,0.027169,0.034249,blues
0.035817,0.024835,0.013425,0.019025,blues
0.021363,0.009286,0.004899,0.004278,blues
0.020119,0.011578,0.009987,0.013795,blues
0.045977,0.045171,0.022713,0.03231,blues
0.02511,0.025776,0.007944,0.013539,blues
0.026711,0.024782,0.019852,0.02919,blues
0.017958,0.009509,0.005774,0.010537,blues
0.041572,0.024951,0.032349,0.018801,blues
0.040489,0.025784,0.015278,0.019758,blues
0.040248,0.016586,0.020668,0.024851,blues
0.033141,0.021116,0.010015,0.008203,blues
0.091317,0.043152,0.033573,0.012983,blues
0.057966,0.020777,0.031713,0.011448,blues
0.078689,0.020559,0.014928,0.007356,classical
0.069851,0.01606,0.019119,0.009173,classical
0.069042,0.018274,0.016582,0.005133,classical
0.084871,0.01815,0.03028,0.006685,classical
0.092446,0.023432,0.020807,0.007005,classical
0.057924,0.017787,0.015477,0.008523,classical
0.058635,0.015887,0.017545,0.008547,classical
0.04671,0.015268,0.020156,0.008989,classical
0.05416,0.016474,0.015293,0.005226,classical
0.042389,0.011426,0.021518,0.010069,classical
0.062091,0.019069,0.021916,0.008587,classical
0.048568,0.0105,0.011065,0.006074,classical
0.050402,0.01196,0.016577,0.008055,classical
0.067228,0.022129,0.022964,0.010918,classical
0.058872,0.015724,0.012744,0.008026,classical
0.057267,0.017752,0.021401,0.008483,classical
0.032609,0.009797,0.010061,0.004895,classical
0.065594,0.014141,0.01248,0.00576,classical
0.05527,0.014616,0.018194,0.009865,classical
0.035631,0.012787,0.017921,0.006392,classical
0.054526,0.015398,0.01633,0.006894,classical
0.065383,0.01615,0.01614,0.005895,classical
0.058116,0.012996,0.015261,0.004116,classical
0.03116,0.006545,0.012087,0.003042,classical
