@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_flx

@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.083033,0.028666,0.008923,0.010872,blues
0.086068,0.032362,0.011362,0.007051,blues
0.088887,0.03277,0.011658,0.004756,blues
0.082793,0.030949,0.010965,0.006563,blues
0.088599,0.032721,0.012348,0.004993,blues
0.083909,0.032785,0.011338,0.006544,blues
0.095257,0.039898,0.012566,0.007044,blues
0.089854,0.03597,0.012105,0.005148,blues
0.082437,0.028123,0.010152,0.004194,blues
0.079606,0.026866,0.010786,0.005008,blues
0.097801,0.0463,0.014336,0.011887,blues
0.085078,0.035777,0.011466,0.005252,blues
0.084006,0.030828,0.010935,0.005614,blues
0.079908,0.026798,0.010563,0.00425,blues
0.082977,0.027209,0.012126,0.00499,blues
0.084386,0.02742,0.011185,0.004121,blues
0.081173,0.026325,0.010106,0.004956,blues
0.087488,0.031521,0.012413,0.005707,blues
0.081607,0.026068,0.010355,0.004389,blues
0.086004,0.031128,0.011599,0.006254,blues
0.080867,0.026587,0.010874,0.00436,blues
0.081927,0.027853,0.011709,0.004236,blues
0.081986,0.028321,0.011798,0.00458,blues
0.08176,0.028391,0.010666,0.00632,blues
0.08543,0.031273,0.011792,0.006405,blues
0.081985,0.027566,0.010817,0.004187,blues
0.084264,0.029829,0.011397,0.005581,blues
0.081818,0.029232,0.010411,0.004693,blues
0.083237,0.030976,0.010662,0.005447,blues
0.085434,0.032193,0.012118,0.007288,blues
0.084475,0.030143,0.012555,0.00476,blues
0.08072,0.031384,0.010035,0.004879,blues
0.077546,0.030672,0.011585,0.004926,blues
0.08122,0.029461,0.010498,0.004716,blues
0.084614,0.031734,0.012546,0.005349,blues
0.081428,0.029427,0.009698,0.004643,blues
0.082439,0.033227,0.010737,0.006114,blues
0.083644,0.03611,0.010989,0.00848,blues
0.08152,0.03186,0.011812,0.00613,blues
0.082653,0.034375,0.011459,0.005588,blues
0.084264,0.029483,0.010815,0.004542,blues
0.079499,0.026626,0.010438,0.004241,blues
0.078758,0.028396,0.009975,0.004986,blues
0.083486,0.026788,0.011026,0.004338,blues
0.082584,0.028566,0.010936,0.004456,blues
0.081355,0.026981,0.011021,0.00436,blues
0.07915,0.030132,0.010218,0.005079,blues
0.077122,0.026306,0.010066,0.003751,blues
0.079944,0.027015,0.010337,0.004903,blues
0.079642,0.029767,0.009597,0.005971,blues
0.080822,0.028976,0.010588,0.004883,blues
0.080986,0.02867,0.01074,0.004619,blues
0.083843,0.034123,0.011199,0.005544,blues
0.085099,0.030008,0.010302,0.005794,blues
0.082829,0.028147,0.011724,0.003658,blues
0.0804,0.027852,0.010572,0.003946,blues
0.080039,0.030461,0.011076,0.00555,blues
0.087663,0.032569,0.011029,0.005291,blues
0.082206,0.028807,0.011617,0.004592,blues
0.080384,0.029416,0.010133,0.004671,blues
0.083814,0.027696,0.011817,0.004923,blues
0.084114,0.028913,0.011596,0.003931,blues
0.082768,0.029269,0.011136,0.004949,blues
0.079586,0.027565,0.010891,0.004168,blues
0.078521,0.026366,0.011138,0.003441,blues
0.079971,0.025962,0.010807,0.004851,blues
0.084679,0.030279,0.010387,0.005436,blues
0.081981,0.026268,0.010366,0.004825,blues
0.078671,0.027949,0.009707,0.004156,blues
0.080122,0.026939,0.010121,0.005234,blues
0.090741,0.033349,0.012497,0.005221,blues
0.079484,0.026368,0.010563,0.004042,blues
0.076871,0.027343,0.009986,0.004637,blues
0.079361,0.026252,0.010426,0.004565,blues
0.082171,0.028383,0.010508,0.007609,blues
0.087333,0.034846,0.011744,0.00673,blues
0.080235,0.027134,0.010539,0.004925,blues
0.084744,0.028936,0.01145,0.004461,blues
0.083522,0.025972,0.010458,0.004272,blues
0.082856,0.026839,0.010536,0.003985,blues
0.084793,0.029795,0.010498,0.005377,blues
0.079767,0.026473,0.010297,0.004346,blues
0.084837,0.029925,0.010992,0.00589,blues
0.087467,0.029946,0.011033,0.004525,blues
0.083736,0.028759,0.011374,0.004208,blues
0.083834,0.030587,0.011182,0.005743,blues
0.089728,0.035919,0.011397,0.005916,blues
0.08484,0.032029,0.010008,0.00589,blues
0.088112,0.032592,0.011576,0.005458,blues
0.082217,0.034232,0.012679,0.009973,blues
0.089507,0.035848,0.012583,0.008488,blues
0.091562,0.042424,0.012369,0.007652,blues
0.084485,0.032287,0.012915,0.007038,blues
0.083135,0.035003,0.011028,0.009426,blues
0.080978,0.030753,0.011513,0.006577,blues
0.082836,0.028405,0.010739,0.004673,blues
0.078138,0.030421,0.010248,0.006183,blues
0.088964,0.033095,0.011106,0.007437,blues
0.082552,0.030784,0.010459,0.006358,blues
0.080884,0.027524,0.010419,0.005112,blues
0.074452,0.025738,0.00797,0.012613,classical
0.070682,0.026481,0.010009,0.003594,classical
0.076723,0.027329,0.0095,0.00462,classical
0.071561,0.025832,0.009615,0.004858,classical
0.073883,0.024868,0.009334,0.003987,classical
0.074704,0.024705,0.00985,0.003385,classical
0.071821,0.02464,0.009145,0.004201,classical
0.074846,0.026979,0.010515,0.004285,classical
0.075063,0.024512,0.010674,0.0034,classical
0.069453,0.023737,0.008904,0.004931,classical
0.076057,0.024459,0.010729,0.003958,classical
0.076386,0.027036,0.009409,0.005249,classical
0.078212,0.028261,0.010745,0.004596,classical
0.078258,0.02816,0.009392,0.005819,classical
0.0777,0.025444,0.009749,0.004907,classical
0.074113,0.024285,0.009478,0.004247,classical
0.076015,0.023736,0.011027,0.003941,classical
0.079481,0.026644,0.009637,0.005116,classical
0.074402,0.025043,0.009523,0.005618,classical
0.073206,0.024263,0.009327,0.003866,classical
0.079332,0.025739,0.010215,0.006048,classical
0.080494,0.02597,0.009648,0.004537,classical
0.079939,0.026624,0.01047,0.004868,classical
0.074816,0.025793,0.00973,0.004291,classical
0.081049,0.028199,0.009868,0.004992,classical
0.080473,0.028788,0.009944,0.005245,classical
0.080393,0.028284,0.010353,0.005647,classical
0.077658,0.026598,0.010975,0.00434,classical
0.080082,0.029431,0.010992,0.006445,classical
0.078057,0.025479,0.010158,0.003655,classical
0.077936,0.025815,0.010001,0.004354,classical
0.086142,0.031591,0.011103,0.005915,classical
0.073635,0.023971,0.009326,0.004112,classical
0.075278,0.025508,0.010515,0.003536,classical
0.077067,0.026627,0.009643,0.005525,classical
0.083498,0.031284,0.01131,0.007651,classical
0.077976,0.027113,0.009534,0.00502,classical
0.082312,0.028842,0.011849,0.005839,classical
0.075324,0.026698,0.010579,0.004659,classical
0.077604,0.024009,0.008467,0.006722,classical
0.076004,0.025678,0.010216,0.003897,classical
0.072766,0.025732,0.009774,0.004942,classical
0.071092,0.023025,0.008591,0.004145,classical
0.069106,0.023136,0.00907,0.003614,classical
0.069652,0.021825,0.008254,0.004094,classical
0.07279,0.024471,0.009569,0.004126,classical
0.072622,0.022176,0.009513,0.004124,classical
0.068142,0.021736,0.007572,0.007832,classical
0.07135,0.022691,0.008833,0.004064,classical
0.074934,0.024295,0.009461,0.005578,classical
0.070722,0.023506,0.008603,0.005859,classical
0.072698,0.02375,0.009188,0.004377,classical
0.078828,0.02583,0.010114,0.004777,classical
0.072829,0.024328,0.008757,0.004357,classical
0.0805,0.024696,0.009689,0.004927,classical
0.072927,0.024955,0.00905,0.006704,classical
0.069961,0.022441,0.009375,0.004799,classical
0.073701,0.025196,0.009852,0.005683,classical
0.070753,0.022471,0.008732,0.004079,classical
0.075643,0.023973,0.009622,0.003686,classical
0.07765,0.024652,0.009569,0.004084,classical
0.074885,0.023812,0.00866,0.00586,classical
0.079897,0.030303,0.0128,0.008817,classical
0.069559,0.022151,0.009176,0.004293,classical
0.070649,0.023444,0.009341,0.004622,classical
0.072282,0.023576,0.009208,0.004656,classical
0.071177,0.0232,0.009502,0.004873,classical
0.068468,0.02257,0.008793,0.00374,classical
0.072169,0.023636,0.009509,0.003823,classical
0.068841,0.021265,0.009051,0.002754,classical
0.076417,0.024828,0.009918,0.003895,classical
0.074307,0.022742,0.008865,0.004421,classical
0.070356,0.023827,0.009327,0.004577,classical
0.075351,0.026787,0.008844,0.007718,classical
0.074007,0.024367,0.009496,0.004878,classical
0.070434,0.022554,0.008721,0.00402,classical
0.076423,0.024114,0.009906,0.003834,classical
0.071299,0.030563,0.009636,0.01005,classical
0.072168,0.02634,0.009367,0.00541,classical
0.076982,0.033099,0.010396,0.005167,classical
0.072442,0.023436,0.00901,0.004275,classical
0.072406,0.02307,0.008461,0.004198,classical
0.070481,0.022584,0.009469,0.003531,classical
0.071923,0.025045,0.008784,0.004913,classical
0.070903,0.024024,0.008478,0.004563,classical
0.07804,0.026153,0.009782,0.005191,classical
0.080186,0.027769,0.009844,0.006236,classical
0.06826,0.023321,0.009278,0.004228,classical
0.077025,0.024144,0.009272,0.004605,classical
0.080224,0.026929,0.010955,0.005091,classical
0.078462,0.025138,0.010149,0.004174,classical
0.0785,0.025572,0.009906,0.004185,classical
0.079737,0.029927,0.011179,0.00649,classical
0.078843,0.028331,0.010445,0.003926,classical
0.072701,0.023042,0.008509,0.00543,classical
0.077433,0.02592,0.009256,0.0054,classical
0.079917,0.026588,0.009817,0.005779,classical
0.077874,0.027452,0.010689,0.004767,classical
0.074926,0.024938,0.00935,0.004503,classical
0.067991,0.021738,0.008785,0.003239,classical
0.075004,0.026136,0.008271,0.012677,country
0.074291,0.023217,0.009282,0.003844,country
0.078107,0.026475,0.01004,0.00472,country
0.076861,0.028492,0.011061,0.004304,country
0.073032,0.023668,0.00906,0.004207,country
0.077125,0.025591,0.009375,0.005041,country
0.073322,0.024356,0.009216,0.004745,country
0.072009,0.024248,0.009206,0.004569,country
0.07294,0.023636,0.009284,0.00463,country
0.073135,0.022593,0.009604,0.00405,country
0.079275,0.029004,0.009606,0.007207,country
0.082865,0.029468,0.01084,0.005304,country
0.081155,0.030232,0.010529,0.00423,country
0.07905,0.026448,0.010286,0.005166,country
0.078481,0.026231,0.009165,0.006297,country
0.082343,0.028869,0.011158,0.005568,country
0.086589,0.029887,0.011288,0.00545,country
0.0774,0.027905,0.010247,0.005969,country
0.075756,0.025874,0.009475,0.003854,country
0.075641,0.02678,0.00956,0.00407,country
0.086512,0.032821,0.011461,0.007367,country
0.077302,0.02462,0.010021,0.00367,country
0.079863,0.025644,0.009851,0.005492,country
0.078186,0.029172,0.010714,0.006674,country
0.079583,0.035486,0.010117,0.008178,country
0.077201,0.026451,0.010318,0.005525,country
0.076873,0.030652,0.009096,0.004897,country
0.079787,0.025949,0.009969,0.004835,country
0.074899,0.025034,0.009987,0.004695,country
0.076885,0.027489,0.00994,0.004389,country
0.070059,0.025804,0.009252,0.004874,country
0.073782,0.0269,0.010188,0.004083,country
0.071895,0.026905,0.009707,0.007654,country
0.080935,0.031387,0.010805,0.006713,country
0.091175,0.035455,0.01245,0.008127,country
0.07838,0.026338,0.009443,0.005649,country
0.074443,0.028979,0.009818,0.007751,country
0.076014,0.025532,0.009917,0.004436,country
0.07971,0.028261,0.010114,0.005118,country
0.083116,0.029323,0.01123,0.004595,country
0.083675,0.029927,0.01084,0.00715,country
0.079414,0.030718,0.010129,0.006148,country
0.080086,0.028215,0.010381,0.00451,country
0.080045,0.034073,0.010101,0.008936,country
0.074686,0.029694,0.010094,0.007944,country
0.082733,0.03067,0.011205,0.005483,country
0.080015,0.028316,0.009982,0.005288,country
0.075864,0.025293,0.009615,0.004702,country
0.080328,0.027064,0.011172,0.005989,country
0.08233,0.031527,0.010221,0.006327,country
0.081641,0.031496,0.010494,0.005036,country
0.076653,0.028308,0.009747,0.005718,country
0.075548,0.025705,0.009177,0.004321,country
0.082352,0.029629,0.010377,0.00538,country
0.080822,0.030298,0.010399,0.006141,country
0.082228,0.028153,0.010363,0.004522,country
0.076806,0.027849,0.010316,0.004384,country
0.079828,0.027342,0.010934,0.004539,country
0.08295,0.03304,0.011445,0.007214,country
0.085254,0.032205,0.010489,0.006499,country
0.078638,0.030456,0.010815,0.006595,country
0.080392,0.031866,0.01057,0.006666,country
0.084067,0.030522,0.010139,0.006596,country
0.089629,0.038633,0.01169,0.009103,country
0.081573,0.028142,0.010561,0.004856,country
0.084685,0.034806,0.011617,0.006915,country
0.082689,0.032069,0.009952,0.004697,country
0.084693,0.032627,0.011311,0.005773,country
0.084117,0.031923,0.010099,0.005954,country
0.080095,0.028141,0.01159,0.005183,country
0.08615,0.031586,0.010807,0.005235,country
0.082643,0.030954,0.011152,0.005512,country
0.08334,0.029438,0.011244,0.005086,country
0.081662,0.02931,0.010884,0.004377,country
0.082071,0.02821,0.010936,0.004961,country
0.07946,0.027022,0.009615,0.004906,country
0.090756,0.037104,0.012013,0.006676,country
0.085444,0.03147,0.011032,0.005093,country
0.07978,0.027633,0.01138,0.003652,country
0.085064,0.0351,0.01097,0.006457,country
0.083899,0.033488,0.009787,0.007729,country
0.08322,0.032017,0.010608,0.005407,country
0.083237,0.030006,0.01038,0.005291,country
0.081241,0.030494,0.010176,0.004971,country
0.082206,0.030051,0.010395,0.005307,country
0.080499,0.03054,0.009685,0.005855,country
0.086077,0.032335,0.010183,0.005284,country
0.078168,0.028418,0.011642,0.00432,country
0.08142,0.032003,0.010313,0.005197,country
0.081266,0.031449,0.01094,0.005363,country
0.079469,0.029861,0.010091,0.006439,country
0.079402,0.028245,0.010422,0.005781,country
0.08157,0.031223,0.009449,0.008111,country
0.076003,0.027644,0.010692,0.005562,country
0.08505,0.031827,0.011392,0.005156,country
0.08145,0.032117,0.010224,0.0049,country
0.078442,0.028815,0.010544,0.00429,country
0.080877,0.030197,0.011117,0.004765,country
