@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_lpcc

@attribute Mean_Acc1000_Mean_Mem40_LPCC_1_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_2_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_3_f2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_4_f3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_5_f4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_6_f5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_7_f6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_8_f7 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_9_f8 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_10_f9 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_11_f10 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_12_f11 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_1_f12 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_2_f13 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_3_f14 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_4_f15 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_5_f16 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_6_f17 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_7_f18 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_8_f19 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_9_f20 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_10_f21 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_11_f22 numeric
@attribute Mean_Acc1000_Std_Mem40_LPCC_12_f23 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_1_f24 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_2_f25 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_3_f26 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_4_f27 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_5_f28 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_6_f29 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_7_f30 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_8_f31 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_9_f32 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_10_f33 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_11_f34 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_12_f35 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_1_f36 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_2_f37 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_3_f38 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_4_f39 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_5_f40 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_6_f41 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_7_f42 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_8_f43 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_9_f44 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_10_f45 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_11_f46 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_12_f47 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
-1.417539,2.86614,-5.950189,13.039415,-29.822322,71.604975,-179.24022,464.680074,-1241.497189,3405.749612,-9564.643793,27434.611248,0.33765,0.867383,2.336627,6.404747,17.978272,51.469204,150.289317,446.771443,1349.895245,4139.717405,12870.487889,40524.914739,0.207988,0.482889,1.21828,3.281784,9.251181,26.835039,79.535291,239.928871,734.687136,2279.805262,7161.364733,22753.05617,0.107864,0.267202,0.745958,2.359563,7.677948,25.393561,84.618284,283.829232,958.09302,3254.623905,11125.116916,38261.422132,blues
-1.312,2.688503,-5.981158,13.793118,-34.521611,93.324097,-269.526247,821.865696,-2620.885204,8666.095169,-29506.137933,102877.661732,0.394392,1.00773,2.721381,7.838594,23.380915,72.418596,232.556149,771.101833,2629.642003,9191.883664,32833.127791,119518.921084,0.409012,1.198011,3.475013,11.007129,35.856155,119.970298,410.580033,1431.82022,5071.903921,18207.820363,66123.467499,242563.997789,0.135079,0.459934,1.579966,5.712426,20.913674,77.115832,286.689731,1075.506779,4071.229279,15545.910011,59854.067868,232244.005772,blues
-1.816766,4.159773,-9.924923,25.271754,-68.304559,194.796756,-580.064388,1790.574947,-5695.776636,18592.413603,-62074.929812,211438.873095,0.394739,1.3393,4.224725,13.573373,44.743972,150.672117,517.609008,1809.736033,6429.606684,23177.867652,84675.704794,313170.797739,0.258649,0.729896,2.140616,6.799807,22.671097,77.969954,274.302742,982.245567,3570.01021,13144.830484,48966.554151,184358.841361,0.114946,0.301652,1.073243,4.020048,15.612568,61.277734,242.421371,965.972134,3876.797429,15669.292292,63768.107476,261224.847652,blues
-1.621965,3.289972,-7.313884,17.015795,-41.964672,109.150683,-297.574311,845.292179,-2490.256226,7583.23538,-23806.724908,76880.205634,0.335158,0.984963,2.771526,8.357152,25.785196,81.837654,266.920793,893.043503,3059.602833,10713.111204,38261.318275,139102.266046,0.297826,0.778518,2.093827,6.176914,18.757423,58.849499,190.073181,629.882918,2136.531439,7399.933119,26112.670789,93692.613004,0.123002,0.34727,1.16163,4.210349,15.762717,59.590458,226.76392,868.581263,3348.472429,12990.473172,50702.071979,199016.241178,blues
-1.869942,4.515415,-11.022895,28.508195,-77.873048,223.268789,-664.944575,2043.381647,-6444.585587,20783.842408,-68346.449343,228678.238332,0.299692,1.034463,3.386584,11.054277,36.916947,125.274923,431.597037,1507.035433,5327.490198,19046.935932,68811.542966,251009.772939,0.297208,0.822522,2.453424,7.757193,25.647736,86.889503,299.643866,1047.981271,3709.056371,13263.848613,47877.851918,174306.187861,0.147053,0.378914,1.139989,3.936438,14.628935,56.033047,217.016908,844.719387,3297.240069,12899.361536,50574.259106,198734.694603,blues
-1.775117,4.389115,-10.669134,27.990084,-76.805688,222.650128,-668.759492,2074.357063,-6588.483979,21364.134356,-70452.86073,235796.880532,0.374235,1.104481,3.678598,11.414837,37.719138,125.129142,425.593914,1464.868817,5114.327776,18045.470294,64323.457908,231282.250452,0.424652,1.039626,3.277986,10.04641,32.439443,105.640119,351.367489,1181.980019,4026.444252,13850.182049,48095.428538,168412.893629,0.189897,0.367689,1.123651,3.592252,12.791902,47.238965,176.286154,664.179354,2510.824698,9534.171147,36329.389196,138970.727226,blues
-2.299346,5.990719,-16.186266,47.947026,-152.048633,509.70853,-1785.470382,6479.327338,-24210.625327,92740.681652,-362961.117245,1447520.228259,0.424258,1.776464,6.484171,24.148918,92.894876,365.47425,1467.171767,5993.945449,24869.112925,104608.587754,445457.666966,1917971.244802,0.400874,1.329653,4.514819,16.639672,64.05904,252.824888,1017.768234,4165.602718,17299.426035,72790.985209,309980.113506,1334774.817241,0.201447,0.592018,1.997065,8.032105,35.174817,158.851648,725.700999,3334.415496,15383.396621,71243.39084,331243.765416,1546465.541476,blues
-2.191578,5.651891,-15.093785,43.223511,-131.437927,420.694828,-1401.19703,4816.385812,-16989.22913,61244.800937,-224936.538405,839660.52087,0.316783,1.260989,4.496144,16.196296,59.535703,222.598992,845.398989,3254.501843,12682.25042,49967.918197,198860.516006,798733.545271,0.407133,1.318039,4.346089,15.359554,56.033755,208.384493,787.427938,3014.660806,11677.011189,45712.889059,180723.787272,721054.556256,0.147042,0.402043,1.35765,5.407439,23.015279,99.623005,431.621564,1867.911926,8075.57412,34908.232505,150992.927054,653928.794783,blues
-1.478538,3.236359,-7.243665,17.224856,-43.229286,114.910376,-320.71604,931.252563,-2795.007833,8625.605468,-27261.51581,87960.864293,0.458264,1.298151,3.8479,11.616579,35.72484,112.361296,360.976377,1182.078439,3937.884438,13323.252962,45710.403415,158810.226349,0.20411,0.552955,1.483971,4.251339,12.815953,40.206379,129.993588,430.76985,1456.086636,5004.030698,17438.058439,61493.55026,0.082936,0.242857,0.879083,3.182165,11.747564,43.342834,160.177421,593.303884,2204.341981,8218.268653,30753.95403,115530.892869,blues
-1.635236,3.873339,-9.350993,24.028985,-66.132876,192.914152,-589.986371,1873.404685,-6130.709876,20569.273599,-70468.458296,245761.303571,0.349862,1.14208,3.608133,11.525573,37.978979,128.113603,442.155639,1555.261597,5563.997569,20200.854512,74307.229118,276515.428122,0.423596,1.390116,4.205869,13.289334,43.115227,143.431389,488.056742,1693.349305,5975.852362,21402.02234,77641.607476,284844.179038,0.169983,0.553192,1.799635,6.36842,23.432505,87.8926,333.082368,1272.383966,4892.000818,18918.675167,73554.418154,287396.944341,blues
-2.148114,5.463344,-14.462371,40.813666,-122.227877,384.190551,-1253.995564,4216.11454,-14518.911428,51004.709826,-182240.640345,660766.345678,0.312729,1.242931,4.320253,15.281202,55.035095,201.732854,750.640833,2828.906239,10779.945987,41482.118457,161027.068209,630026.234877,0.363238,1.195119,3.874195,13.227267,46.210768,164.854292,597.414912,2193.229333,8142.437069,30531.765541,115526.010801,440781.487049,0.18209,0.471524,1.323427,4.461264,17.060158,69.361206,288.233567,1205.030476,5043.367055,21109.810945,88390.102655,370449.37143,blues
-1.587488,3.445311,-7.809405,18.695308,-47.474115,127.63598,-360.696876,1063.340374,-3251.767452,10270.062457,-33382.351255,111355.205198,0.385,1.047384,3.168153,9.663142,30.336691,97.718139,322.576808,1089.623435,3760.429576,13240.81458,47504.561153,173440.106789,0.275892,0.829948,2.462479,7.537828,23.917355,78.080277,261.387781,894.958246,3127.908982,11146.086431,40456.603121,149451.409379,0.107019,0.36353,1.341866,5.000807,18.904856,72.007508,276.825435,1075.433133,4224.958156,16785.06866,67406.118685,273424.57217,blues
-1.963086,4.77293,-11.932647,31.989217,-91.055845,271.64802,-841.370876,2682.641534,-8754.233496,29118.062132,-98421.265761,337303.568716,0.389709,1.447159,4.560653,14.833492,49.381612,167.748713,579.321659,2029.976865,7203.170858,25843.378244,93631.509293,342209.638048,0.289152,0.916002,2.676031,8.373477,27.186752,90.970401,311.207657,1084.577728,3839.554203,13778.178477,50035.470293,183640.484574,0.161647,0.439066,1.19282,3.770105,12.960147,47.273471,178.580575,688.737529,2689.927605,10593.439394,41971.968056,167102.44722,blues
-1.34535,2.591182,-5.389217,11.58527,-26.254293,62.022149,-153.192346,391.164394,-1027.074121,2759.9499,-7562.182829,21067.906839,0.397496,0.936553,2.316228,6.236394,16.685832,45.561989,126.394934,356.266621,1017.974312,2945.395622,8619.445869,25486.153786,0.236029,0.590803,1.411331,3.806566,10.277611,28.446595,80.066008,228.672612,661.06417,1931.565973,5697.548481,16949.879537,0.078962,0.191518,0.557043,1.709791,5.381716,16.969231,53.436134,168.534451,532.641279,1688.086287,5367.344352,17125.51853,blues
-1.500337,3.346997,-8.055784,20.835777,-58.772996,176.847361,-561.0898,1850.592224,-6290.365066,21894.449531,-77683.67193,280055.369884,0.463171,1.408052,4.261231,13.59243,44.736735,152.132052,530.684984,1892.546303,6873.963537,25357.62673,94789.074087,358395.635413,0.53068,1.626384,4.823154,15.168902,48.967991,163.129995,556.877109,1943.400313,6911.156969,24985.057767,91632.04361,340325.627359,0.197003,0.690622,2.335538,8.213907,29.930769,111.010066,417.590281,1589.662751,6114.414849,23732.034158,92851.342828,365872.96552,blues
-1.591587,3.427157,-7.809398,19.011433,-49.230216,134.510431,-384.552462,1138.790708,-3469.557939,10819.749419,-34403.324388,111215.849534,0.429666,1.307987,3.764829,11.34968,35.016856,110.40517,354.572576,1158.281458,3840.05344,12898.998866,43837.730867,150551.664261,0.358688,0.992678,2.682632,7.765487,23.101347,70.71687,221.448474,708.119308,2305.348395,7625.469528,25580.238968,86891.506695,0.103836,0.280103,0.931966,3.268794,11.731357,42.324309,152.965606,554.417715,2016.711126,7366.091461,27023.881922,99592.625647,blues
-1.469986,3.063029,-6.838851,16.19253,-40.923117,109.339906,-306.477558,891.470584,-2670.850128,8194.973025,-25642.808097,81567.74803,0.453662,1.259074,3.452429,10.139505,30.242193,92.331618,287.740316,913.506698,2947.074852,9643.036335,31947.440987,107010.798365,0.355812,0.941316,2.543928,7.3841,21.825136,66.245164,205.184247,647.400928,2074.649713,6739.552606,22157.259497,73625.582164,0.151603,0.457766,1.377251,4.378513,14.414401,48.205291,163.226549,558.416711,1927.467644,6705.457974,23493.209448,82840.676058,blues
-2.032847,4.890565,-12.258866,32.968883,-93.890712,280.237982,-868.742701,2773.531966,-9067.750518,30233.605753,-102487.484782,352391.415304,0.374614,1.375598,4.448823,14.800121,50.17589,172.759863,602.837555,2129.607716,7604.946102,27422.156475,99746.331364,365697.849238,0.269928,0.819807,2.412045,7.613585,25.064989,85.023432,294.642378,1038.036222,3706.181515,13381.055712,48774.650035,179262.031065,0.125919,0.303809,0.85845,2.942238,11.068403,43.111592,169.455157,667.581163,2630.816278,10368.780076,40881.695639,161304.344743,blues
-1.163459,2.335567,-4.819717,10.304338,-23.695076,57.28359,-146.234906,388.557507,-1067.143738,3009.597048,-8674.020255,25453.825225,0.380447,0.834379,2.133287,5.74092,15.499956,43.093695,122.38163,354.950484,1048.090754,3145.051873,9572.444905,29504.373633,0.383746,0.931127,2.369688,6.49076,17.813683,50.200899,144.006921,420.339761,1244.605512,3732.715769,11321.622413,34685.543695,0.113836,0.330753,0.937562,2.910731,9.111197,28.721841,91.127958,290.969162,934.61776,3019.105623,9805.956879,32015.280128,blues
-1.836099,4.108723,-9.812005,24.989218,-67.665863,192.485361,-570.768455,1748.983589,-5503.818891,17706.961006,-58042.725855,193349.054877,0.358286,1.218763,3.584785,11.169896,35.557627,115.548028,382.374351,1286.518806,4392.653231,15196.748072,53200.705001,188247.567113,0.315942,1.086945,3.258979,10.260285,33.134069,109.405784,367.110397,1249.260039,4303.369386,14985.734555,52697.564683,186964.961686,0.120218,0.255821,0.786225,2.938223,11.591353,45.646821,177.776349,687.022364,2643.434252,10151.471258,38971.622221,149717.687623,blues
-1.312395,2.475443,-5.136566,10.946288,-24.657272,58.332184,-144.96303,374.581399,-1000.639163,2748.70363,-7730.919314,22187.235047,0.357018,0.878952,2.220278,6.063902,16.608684,46.444375,132.267126,383.373266,1128.241552,3366.23753,10167.203908,31045.520885,0.275624,0.664717,1.66558,4.535289,12.538953,35.55161,102.686429,301.682021,898.847143,2711.629688,8271.081524,25478.063263,0.080638,0.250889,0.739166,2.343076,7.487073,23.907195,76.396796,244.831973,787.305874,2540.989117,8232.280627,26772.830401,blues
-1.646441,3.519428,-8.249605,20.552995,-54.827892,154.895307,-459.347409,1414.650341,-4490.963718,14616.039851,-48563.884489,164217.072267,0.409997,1.233082,3.518137,10.849887,34.122455,110.282658,364.76951,1231.848096,4235.427294,14793.69259,52392.282884,187829.386739,0.391443,1.331714,3.857995,11.938816,37.858812,123.102902,408.480749,1379.977696,4735.173828,16472.012769,57995.995756,206387.473849,0.107746,0.300226,1.079363,4.040785,15.402016,58.583232,222.138959,841.835074,3193.915211,12145.376422,46324.845401,177309.374,blues
-1.788249,4.03781,-9.778408,25.280738,-69.803217,203.121334,-617.58659,1943.049737,-6283.582675,20786.186664,-70082.644229,240166.227438,0.404132,1.334012,4.012154,12.791597,41.665368,139.01584,473.357065,1640.786402,5775.399083,20602.968247,74368.941408,271257.304823,0.375926,1.268034,3.72833,11.673464,37.449989,123.345203,414.743362,1419.641285,4934.624598,17384.150572,61969.902766,223236.056403,0.176864,0.442781,1.351005,4.672446,17.277709,65.280374,248.476614,949.253415,3637.572918,13985.473326,53968.469588,209090.442327,blues
-2.052099,5.133019,-13.184206,36.721893,-110.003312,347.363254,-1143.234353,3885.274406,-13547.778059,48244.281326,-174848.875765,643260.844342,0.449106,1.601785,5.254221,17.817389,61.955747,220.844215,802.442414,2965.527176,11121.598908,42247.927829,162306.110828,629772.620808,0.381877,1.363512,4.480334,15.361263,54.244311,196.3018,723.147006,2704.097135,10240.70931,39210.596853,151578.339956,590935.346191,0.160915,0.442313,1.388525,5.065622,19.832114,80.213046,328.941576,1358.069905,5630.394229,23417.628663,97672.27786,408463.418175,blues
-2.06671,5.298418,-14.005402,40.315042,-125.601284,415.028951,-1436.924111,5160.33432,-19090.136937,72374.586249,-280107.252085,1103355.371467,0.467065,1.771099,6.088606,21.611298,79.248441,299.302572,1158.012617,4576.582687,18422.905922,75355.689007,312542.327368,1312086.1291,0.445587,1.634934,5.574087,19.939289,73.710721,279.891978,1084.048852,4269.966875,17063.290681,69050.779306,282550.064936,1167660.253436,0.161122,0.519955,2.047841,8.69719,37.932172,166.103865,727.52366,3187.848245,13988.834806,61526.269445,271381.053686,1200839.913079,blues
-1.933502,4.730177,-11.935509,32.659163,-96.428816,300.543045,-978.179609,3290.623326,-11362.759487,40072.851714,-143812.715547,523777.979499,0.532381,1.891716,6.084589,20.416161,70.219898,247.674574,891.011836,3262.753383,12133.215964,45733.614241,174446.882372,672460.266814,0.336418,1.095258,3.387866,11.275238,38.677927,136.024109,487.238809,1772.949085,6539.147442,24407.593408,92077.237157,350706.753271,0.131274,0.395823,1.26699,4.496654,16.972584,66.461575,265.86002,1078.130795,4413.250242,18190.369162,75381.464484,313767.83243,blues
