@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_lsp

@attribute Mean_Acc1000_Mean_Mem40_LSP_1_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3_f2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4_f3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5_f4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_6_f5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_7_f6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_8_f7 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_9_f8 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_10_f9 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_11_f10 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_12_f11 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_13_f12 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_14_f13 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_15_f14 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_16_f15 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17_f16 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_18_f17 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1_f18 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_2_f19 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3_f20 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_4_f21 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_5_f22 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6_f23 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_7_f24 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_8_f25 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_9_f26 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_10_f27 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_11_f28 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_12_f29 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13_f30 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14_f31 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_15_f32 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_16_f33 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17_f34 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_18_f35 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1_f36 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_2_f37 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_3_f38 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4_f39 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_5_f40 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6_f41 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7_f42 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_8_f43 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_9_f44 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_10_f45 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_11_f46 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_12_f47 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_13_f48 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_14_f49 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15_f50 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_16_f51 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_17_f52 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_18_f53 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1_f54 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2_f55 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3_f56 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4_f57 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5_f58 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_6_f59 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7_f60 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_8_f61 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9_f62 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_10_f63 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_11_f64 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_12_f65 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13_f66 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_14_f67 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15_f68 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_16_f69 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_17_f70 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18_f71 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.161641,0.296061,0.459855,0.593957,0.755287,0.881514,1.037059,1.191847,1.352478,1.503569,1.678372,1.805955,1.977393,2.067755,2.237049,2.365224,2.49399,2.580765,0.031934,0.048497,0.049762,0.05038,0.05646,0.056526,0.069099,0.063269,0.057215,0.066892,0.069029,0.074783,0.064331,0.059968,0.078633,0.073265,0.066909,0.074919,0.022148,0.037125,0.055977,0.07079,0.089324,0.104145,0.120133,0.137108,0.156264,0.173235,0.1938,0.208559,0.225823,0.236711,0.254794,0.269193,0.284956,0.293556,0.010707,0.023582,0.03331,0.041081,0.053804,0.063368,0.075964,0.089345,0.102034,0.113652,0.126844,0.13605,0.154797,0.162193,0.175133,0.186825,0.197448,0.205039,blues
0.124514,0.259909,0.431463,0.573885,0.752843,0.88184,1.03779,1.220303,1.391023,1.542659,1.701967,1.825089,1.973675,2.088191,2.237719,2.344088,2.47578,2.572712,0.034854,0.044943,0.056137,0.056459,0.058832,0.060215,0.071652,0.073449,0.075269,0.081806,0.078044,0.073578,0.068693,0.066436,0.076123,0.075216,0.069319,0.090209,0.036812,0.037501,0.059416,0.069488,0.094645,0.106262,0.126642,0.152165,0.169815,0.18579,0.199144,0.210198,0.227271,0.236381,0.253948,0.266552,0.280114,0.291211,0.01045,0.018254,0.030738,0.043586,0.055927,0.068616,0.07901,0.092979,0.103664,0.115167,0.129001,0.14016,0.153053,0.166834,0.177289,0.185971,0.199842,0.206363,blues
0.171863,0.2874,0.417173,0.54891,0.704428,0.867065,1.014313,1.154296,1.324477,1.462031,1.632505,1.764781,1.929172,2.061825,2.222318,2.335609,2.48187,2.591475,0.038883,0.041933,0.051734,0.051905,0.062885,0.066002,0.061673,0.066256,0.068433,0.068523,0.071187,0.072607,0.076767,0.073251,0.073547,0.069807,0.069528,0.085457,0.025116,0.034257,0.051926,0.065798,0.085571,0.106442,0.116112,0.13502,0.153188,0.168545,0.186937,0.201923,0.219049,0.235041,0.253275,0.266238,0.282607,0.296102,0.01351,0.021485,0.029357,0.039409,0.050569,0.061003,0.076213,0.084475,0.098846,0.11023,0.12425,0.135637,0.150874,0.161673,0.174676,0.184585,0.197112,0.202433,blues
0.117557,0.245464,0.39094,0.542691,0.696842,0.859896,1.022573,1.169702,1.346419,1.496078,1.663849,1.805051,1.963685,2.091884,2.25046,2.35554,2.487313,2.594876,0.035736,0.034313,0.045725,0.04827,0.052317,0.063215,0.065698,0.062213,0.063588,0.062605,0.068067,0.062396,0.062122,0.060671,0.062426,0.060049,0.061503,0.081632,0.027274,0.032007,0.057343,0.065177,0.085911,0.107327,0.126612,0.138716,0.158863,0.173742,0.193034,0.207509,0.224354,0.238185,0.256679,0.267866,0.283027,0.293496,0.008675,0.014626,0.022566,0.036954,0.046797,0.060004,0.07301,0.086033,0.099591,0.113662,0.126418,0.140329,0.15455,0.165985,0.178473,0.18872,0.199373,0.208205,blues
0.197985,0.283629,0.429538,0.558916,0.721348,0.885202,1.030048,1.170547,1.327321,1.465694,1.6178,1.753978,1.900015,2.03695,2.204118,2.317631,2.46376,2.58657,0.032173,0.043874,0.052362,0.052021,0.069601,0.066851,0.057538,0.060914,0.067381,0.067441,0.068818,0.071971,0.069699,0.074869,0.069724,0.070104,0.070826,0.096483,0.029439,0.043325,0.056828,0.074663,0.105259,0.116361,0.120203,0.136924,0.161156,0.171007,0.187876,0.201658,0.216722,0.231272,0.250712,0.263733,0.279922,0.293015,0.011702,0.017453,0.026654,0.036243,0.044014,0.058657,0.075973,0.086799,0.095986,0.111028,0.123257,0.135669,0.148461,0.160471,0.174677,0.184313,0.197188,0.204666,blues
0.155197,0.274895,0.436615,0.573224,0.733474,0.876261,1.042975,1.196385,1.34532,1.478554,1.634312,1.782814,1.915807,2.037845,2.176848,2.307039,2.450212,2.602673,0.034783,0.049463,0.063969,0.065927,0.072357,0.069896,0.066602,0.068027,0.067419,0.065286,0.075875,0.066476,0.069892,0.076662,0.079232,0.074521,0.077886,0.103902,0.031382,0.067943,0.083962,0.095875,0.120806,0.12924,0.126181,0.144138,0.161164,0.173541,0.188898,0.203186,0.219545,0.234321,0.249434,0.262577,0.278687,0.296791,0.017188,0.033554,0.03464,0.044884,0.057467,0.067478,0.076054,0.090132,0.105817,0.113057,0.125231,0.139569,0.149598,0.157298,0.171243,0.184582,0.196161,0.202813,blues
0.128934,0.249089,0.433446,0.552049,0.66439,0.784673,0.926062,1.070125,1.248818,1.427605,1.597508,1.754119,1.904323,2.054288,2.199201,2.343778,2.490976,2.703031,0.032295,0.05964,0.061607,0.052758,0.061604,0.067937,0.080662,0.081866,0.083784,0.079016,0.080638,0.079812,0.077001,0.078798,0.080603,0.085508,0.088579,0.126257,0.024648,0.045428,0.066941,0.07819,0.094844,0.122847,0.142312,0.143894,0.158786,0.175645,0.191195,0.205239,0.221617,0.237559,0.253639,0.269095,0.283981,0.3096,0.01258,0.021494,0.032478,0.037562,0.047539,0.052442,0.061027,0.07163,0.084454,0.098592,0.113525,0.129536,0.144414,0.158231,0.171088,0.185176,0.198428,0.213599,blues
0.124945,0.254645,0.430916,0.561224,0.671833,0.801699,0.945368,1.103772,1.312163,1.473285,1.603529,1.742078,1.898484,2.029138,2.176331,2.309896,2.473874,2.64164,0.032364,0.051848,0.051396,0.049455,0.052146,0.065053,0.073806,0.078857,0.075796,0.071765,0.076726,0.07531,0.071451,0.071223,0.074887,0.086437,0.081817,0.11444,0.031779,0.042542,0.057765,0.071141,0.083594,0.105054,0.124944,0.136422,0.155854,0.167137,0.182494,0.200389,0.217346,0.233198,0.252714,0.268055,0.283649,0.309924,0.016453,0.020283,0.026081,0.039012,0.050035,0.060288,0.068116,0.083293,0.10567,0.117548,0.12685,0.133161,0.146938,0.156246,0.164991,0.175131,0.193007,0.199059,blues
0.146052,0.297223,0.478776,0.594289,0.76168,0.874311,1.029852,1.193247,1.362428,1.508241,1.682984,1.799377,1.965242,2.079374,2.212412,2.306717,2.466504,2.565444,0.03934,0.049206,0.038912,0.057715,0.066559,0.080294,0.079969,0.08268,0.066165,0.074178,0.068558,0.070032,0.075645,0.06695,0.068627,0.065091,0.063496,0.076041,0.022692,0.038342,0.058305,0.071402,0.092272,0.107944,0.11928,0.137988,0.156609,0.17257,0.192707,0.205574,0.22378,0.236008,0.25146,0.261978,0.280219,0.290892,0.011402,0.018141,0.032976,0.039082,0.049617,0.05453,0.072985,0.084886,0.102138,0.114308,0.130453,0.139631,0.153834,0.165268,0.175452,0.18414,0.19784,0.204776,blues
0.155756,0.257199,0.429614,0.595373,0.775082,0.918524,1.043537,1.177967,1.346397,1.487466,1.655478,1.787962,1.932406,2.04489,2.197513,2.317279,2.470831,2.596824,0.028487,0.042108,0.059771,0.05895,0.05878,0.055576,0.057593,0.068428,0.061795,0.067792,0.069845,0.066437,0.067619,0.074803,0.07633,0.072853,0.069245,0.089683,0.024165,0.034692,0.061757,0.073373,0.098055,0.121833,0.13086,0.153971,0.174418,0.182907,0.200847,0.211035,0.225833,0.236834,0.25405,0.264834,0.281651,0.293895,0.011206,0.018936,0.033244,0.043434,0.055273,0.061826,0.072801,0.079944,0.092033,0.104806,0.119887,0.134072,0.148793,0.160391,0.174541,0.184767,0.197745,0.207415,blues
