@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_mfcc

@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f4 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f5 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f6 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f7 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f8 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f9 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f10 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f11 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f12 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f13 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f14 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f15 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f16 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f17 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f18 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f19 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f20 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f21 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f22 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f23 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f24 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f25 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f26 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f27 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f28 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f29 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f30 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f31 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f32 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f33 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f34 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f35 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f36 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f37 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f38 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f39 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f40 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f41 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f42 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f43 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f44 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f45 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f46 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f47 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f48 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f49 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f50 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f51 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
-48.641069,4.803658,0.028713,1.361889,0.16749,0.241946,0.072915,-0.046043,-0.128483,-0.002831,0.076016,0.230045,0.040267,3.628561,1.103487,0.854082,0.740249,0.763183,0.547791,0.567715,0.58746,0.532715,0.490401,0.501403,0.498315,0.464833,5.539578,0.851143,0.457266,0.425287,0.338825,0.181965,0.165497,0.273483,0.248425,0.215971,0.206286,0.273739,0.173346,3.642809,0.310792,0.246274,0.171491,0.221363,0.115172,0.097237,0.109538,0.104651,0.084238,0.093451,0.100209,0.076014,blues
-54.786276,5.69195,0.70775,1.206102,0.550811,0.206184,0.592867,0.079184,0.263425,0.081633,0.232929,0.29144,-0.055518,5.022566,1.284903,0.965616,0.899683,0.705458,0.644148,0.571527,0.563779,0.528339,0.494237,0.472265,0.45022,0.445563,6.675847,1.108677,1.16709,0.733864,0.537682,0.462154,0.307717,0.43298,0.3497,0.407717,0.237556,0.219553,0.231537,4.455225,0.330171,0.305789,0.276332,0.203131,0.216498,0.114797,0.145165,0.144451,0.112942,0.09852,0.093822,0.102685,blues
-47.172122,5.916431,-0.510909,0.725743,0.260017,0.624234,-0.038447,0.301769,0.067512,-0.011645,0.195755,0.028411,-0.120026,3.971188,1.285481,1.062699,0.749932,0.721369,0.620679,0.640225,0.575658,0.505867,0.546205,0.528918,0.488389,0.483084,5.564791,0.895153,0.770453,0.3465,0.292589,0.291478,0.283544,0.213176,0.156499,0.267177,0.219455,0.22372,0.21041,3.326245,0.580291,0.274935,0.19494,0.19067,0.099806,0.193494,0.15023,0.14549,0.169306,0.124399,0.093805,0.110872,blues
-53.931337,6.903104,0.294384,0.889573,0.176791,0.132833,0.004688,0.280712,0.173704,0.242575,0.220793,0.04074,0.020957,4.684584,1.145263,0.887144,0.639545,0.634347,0.52707,0.490849,0.497001,0.447488,0.480445,0.50843,0.442563,0.420872,6.415833,0.953246,0.670719,0.424546,0.47034,0.307109,0.313666,0.254691,0.223603,0.276384,0.26738,0.236191,0.200355,3.884577,0.562592,0.295046,0.159596,0.157293,0.147365,0.118069,0.131944,0.114555,0.161509,0.18615,0.166468,0.094981,blues
-50.255375,5.402835,-0.062937,0.250827,-0.298414,0.149292,-0.413185,0.242844,0.012721,-0.022496,0.267363,0.146255,-0.116376,4.516338,1.668018,0.831357,0.824082,0.680686,0.59208,0.611597,0.595528,0.612032,0.674869,0.654583,0.591172,0.609844,6.16111,1.543333,0.517064,0.485714,0.414896,0.257475,0.345223,0.305275,0.379805,0.347128,0.35693,0.254695,0.347734,3.639071,0.497406,0.220694,0.305035,0.188938,0.113571,0.134591,0.131467,0.132124,0.186089,0.219343,0.135486,0.179807,blues
-51.447725,5.454496,0.713622,0.942226,0.311816,0.250983,-0.044927,0.423984,0.016207,0.174392,0.218244,-0.104603,-0.036917,5.01144,1.951205,0.87086,0.803777,0.632687,0.515803,0.555374,0.578857,0.550182,0.509355,0.48632,0.46988,0.468961,6.800397,3.079622,0.934396,0.606868,0.46768,0.254712,0.408052,0.330811,0.351562,0.337875,0.358452,0.26738,0.245882,4.199881,0.719713,0.304263,0.364094,0.206014,0.173793,0.14129,0.197024,0.129411,0.159033,0.142793,0.120974,0.146092,blues
-53.079356,7.09755,-0.900626,2.637353,0.744779,-0.079873,0.137162,0.407252,0.054802,0.171524,0.267733,0.083504,0.274281,5.783781,1.93512,1.343464,0.969673,0.769491,0.583187,0.554256,0.632737,0.621291,0.549275,0.461291,0.470818,0.459164,7.771729,2.508996,1.409632,0.961919,0.56906,0.359878,0.291594,0.273222,0.309171,0.296266,0.346136,0.347648,0.214854,3.448179,0.695505,0.330255,0.371226,0.311695,0.164962,0.158159,0.228199,0.172088,0.145251,0.121694,0.161503,0.108443,blues
-51.850046,6.609532,-0.423419,2.165801,1.101006,0.103366,0.583522,0.184939,-0.049218,0.11182,0.210769,0.383629,0.106815,4.713402,1.384644,0.970884,0.884027,0.830807,0.608732,0.558553,0.642268,0.664878,0.634126,0.550098,0.532569,0.527849,6.634015,1.530953,0.794107,0.904174,0.702776,0.320066,0.314593,0.350076,0.356265,0.39666,0.2256,0.358964,0.305245,3.642972,0.530062,0.259062,0.352841,0.350164,0.181447,0.183935,0.215014,0.204317,0.227841,0.1457,0.126321,0.123442,blues
-48.932272,4.581914,0.199177,1.584595,0.274623,-0.138435,0.054135,0.209299,0.591099,0.410023,-0.040228,0.112624,0.327434,3.4039,1.34727,1.139166,0.729676,0.652754,0.669693,0.529807,0.514769,0.480438,0.524723,0.443878,0.395194,0.445061,5.851125,0.669783,0.585951,0.463104,0.256721,0.329699,0.265723,0.218414,0.169803,0.272207,0.24612,0.170082,0.221995,3.362911,0.406291,0.228652,0.14558,0.152399,0.115315,0.111371,0.135919,0.080255,0.100619,0.091004,0.076357,0.069567,blues
-53.365085,5.022435,0.982287,1.025029,-0.35693,0.435125,0.016159,-0.10914,-0.111277,-0.076579,0.338469,0.043786,0.001989,4.078446,1.385833,0.849678,0.82115,0.829057,0.541935,0.593799,0.59411,0.548656,0.534222,0.521477,0.529237,0.449894,7.618575,1.245001,0.996032,0.846163,0.730807,0.368701,0.387291,0.416615,0.334069,0.390181,0.4409,0.33859,0.323802,3.612398,0.587456,0.282342,0.233945,0.267204,0.141739,0.145561,0.183484,0.133992,0.161257,0.130606,0.170943,0.096331,blues
-51.296757,6.838074,-0.296925,0.590109,-0.497566,-0.061449,-0.03862,0.084686,-0.319376,0.153138,-0.053783,0.030139,0.06053,5.23982,1.746002,0.935599,0.661425,0.516013,0.577918,0.470866,0.506673,0.449735,0.44633,0.457945,0.423346,0.396307,7.648568,1.701586,1.392089,0.670631,0.473221,0.387231,0.378794,0.432471,0.353028,0.466544,0.421888,0.347409,0.230469,3.511526,0.656848,0.349731,0.222249,0.132608,0.141479,0.118522,0.147325,0.141458,0.166059,0.215381,0.145044,0.192476,blues
-59.064756,5.884766,0.843085,1.223238,0.427814,0.469625,0.242918,0.500535,0.397738,0.266074,0.153963,-0.015335,-0.008986,4.613355,2.009637,0.955768,0.737748,0.721662,0.644315,0.578794,0.515239,0.573426,0.440327,0.413846,0.407087,0.449773,7.293339,1.054,0.513067,0.355726,0.460212,0.3506,0.339577,0.238297,0.233324,0.242396,0.18622,0.178582,0.296686,4.435706,0.569555,0.201225,0.223234,0.313822,0.179522,0.162831,0.114626,0.196179,0.12357,0.109339,0.099735,0.145722,blues
-52.733149,5.093278,0.382542,2.641781,0.12046,1.418562,0.07366,-0.330585,0.419986,0.13252,0.107248,0.548532,0.440673,4.821914,1.34148,1.034021,0.896758,0.715701,0.630756,0.666136,0.626897,0.606228,0.58013,0.53123,0.491507,0.467946,6.646749,1.347759,0.880166,0.94965,0.569238,0.465023,0.574346,0.593474,0.369143,0.423273,0.366461,0.281012,0.310364,3.517827,0.488444,0.425184,0.365222,0.154227,0.157424,0.184654,0.203639,0.162325,0.119126,0.132476,0.107875,0.100197,blues
