@relation gtzan_rh

@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute Feature_15 numeric
@attribute Feature_16 numeric
@attribute Feature_17 numeric
@attribute Feature_18 numeric
@attribute Feature_19 numeric
@attribute Feature_20 numeric
@attribute Feature_21 numeric
@attribute Feature_22 numeric
@attribute Feature_23 numeric
@attribute Feature_24 numeric
@attribute Feature_25 numeric
@attribute Feature_26 numeric
@attribute Feature_27 numeric
@attribute Feature_28 numeric
@attribute Feature_29 numeric
@attribute Feature_30 numeric
@attribute Feature_31 numeric
@attribute Feature_32 numeric
@attribute Feature_33 numeric
@attribute Feature_34 numeric
@attribute Feature_35 numeric
@attribute Feature_36 numeric
@attribute Feature_37 numeric
@attribute Feature_38 numeric
@attribute Feature_39 numeric
@attribute Feature_40 numeric
@attribute Feature_41 numeric
@attribute Feature_42 numeric
@attribute Feature_43 numeric
@attribute Feature_44 numeric
@attribute Feature_45 numeric
@attribute Feature_46 numeric
@attribute Feature_47 numeric
@attribute Feature_48 numeric
@attribute Feature_49 numeric
@attribute Feature_50 numeric
@attribute Feature_51 numeric
@attribute Feature_52 numeric
@attribute Feature_53 numeric
@attribute Feature_54 numeric
@attribute Feature_55 numeric
@attribute Feature_56 numeric
@attribute Feature_57 numeric
@attribute Feature_58 numeric
@attribute Feature_59 numeric
@attribute Feature_60 numeric
@attribute class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@data
6.484761,7.165215,6.257422,5.59244,5.053498,6.354632,5.023857,4.250089,5.515364,5.193903,5.927185,11.495961,7.98088,5.30397,4.825705,3.602963,3.590202,3.488005,4.301193,2.82211,3.063369,2.569265,2.851193,3.353155,5.326586,2.205924,2.893258,2.32159,2.552698,2.115066,2.72607,2.286895,1.973304,1.913915,2.600928,2.81185,7.055072,2.218617,2.760052,2.279648,1.876327,1.858276,2.041836,1.655657,1.748464,1.769581,1.941402,1.999376,2.885236,2.159551,1.541535,1.648511,1.500514,1.410237,1.598499,1.477762,1.473851,1.178875,1.464929,1.566537,blues
13.294228,9.097446,6.910007,5.778632,4.713291,4.970702,9.028196,4.241513,3.93009,3.583753,4.633482,4.25811,6.030327,4.567973,2.973077,2.90226,2.76808,2.53058,2.933432,7.582152,2.789818,2.275385,2.545503,1.950448,2.157621,1.983886,1.979683,1.737863,1.759959,1.725822,1.794126,1.559532,2.403599,3.252022,2.001569,1.56853,1.745925,1.595444,1.53668,2.140983,1.742522,1.521368,1.507828,1.276713,1.278211,1.396286,1.327273,1.312681,1.26125,1.109057,1.07565,1.346377,1.494471,1.686258,1.118713,1.108297,1.053409,0.968157,1.127211,1.067096,blues
10.479725,8.967921,7.62741,6.57653,5.901539,4.957144,4.226075,6.422071,4.682169,4.164404,5.124959,5.097081,5.240083,4.974309,8.468547,9.878321,5.808042,5.262258,7.397817,3.568773,4.015336,3.711694,3.10628,2.911297,3.251396,2.900552,3.744369,3.024292,3.288482,3.558201,8.281215,3.392204,4.279297,3.025782,2.497042,2.681346,2.26694,2.429196,2.251469,2.284381,2.360737,2.24901,1.884991,3.36339,3.219411,2.986792,4.741163,3.781978,2.026433,2.250433,1.828775,2.152506,2.092076,2.053074,2.042942,1.760926,1.512721,1.919142,1.589446,1.445558,blues
5.611874,5.254811,9.696261,4.424121,4.602569,9.751672,3.789787,4.107989,4.053785,2.789423,3.409366,6.077038,3.749901,3.483442,2.671248,2.849068,2.951204,5.862912,5.899063,3.770886,1.989821,2.265216,1.934288,2.195368,2.962684,1.87471,1.56599,1.747627,1.471426,1.429224,3.156791,1.593824,1.264057,1.786887,1.310148,1.468572,3.398084,1.541177,1.563068,1.335245,1.037963,1.019816,1.558968,1.190495,1.277995,1.269223,0.92907,1.279121,1.612107,1.255963,1.523905,1.132914,1.122109,1.135081,1.193171,1.254861,1.070678,0.997117,1.036814,0.831983,blues
12.579522,7.401332,8.007461,5.736616,7.10737,5.902715,5.883043,4.740713,4.587504,5.474278,3.991089,4.542204,9.720582,5.353807,4.553951,4.896589,3.508518,3.795152,3.03453,3.067784,2.4208,3.208775,3.105588,2.815583,2.688331,4.162706,4.365072,2.470317,2.805202,2.624473,1.930209,1.986922,2.528747,2.424977,2.07448,2.130709,2.431483,2.301229,3.451787,4.191416,2.933287,3.112811,2.113663,2.209908,1.974386,1.749688,2.452173,1.502584,1.699532,1.707226,1.976589,1.741476,2.617957,1.997385,1.465629,1.894851,1.525945,1.538692,1.434492,1.486802,blues
16.430525,9.947864,9.695175,5.540231,4.88914,4.774833,7.686965,4.688068,6.121203,3.624033,4.295472,3.45796,4.531895,6.606051,3.176189,2.628059,2.546316,2.088962,4.193844,6.485325,6.350571,3.388522,2.734654,2.08082,2.075063,1.788895,2.351802,2.433135,2.68239,2.051615,1.353589,1.758356,2.373011,2.944652,3.238405,1.250976,1.29571,1.46235,2.127908,2.564972,2.038085,2.14979,1.774529,1.482559,1.176743,1.752873,2.0365,1.546613,2.716268,1.182296,1.091203,1.281927,1.117774,2.1036,1.258824,1.641745,1.236009,1.434449,1.162873,1.485557,blues
26.507872,19.699305,10.532217,11.965487,7.767832,6.962516,10.629116,9.453191,7.339109,7.193127,7.130085,5.465281,5.622316,8.58062,9.023174,7.196904,6.14013,4.794949,4.404944,4.631016,4.709639,7.415589,5.263364,3.951819,3.508581,4.288265,3.553005,5.885783,3.686054,3.523755,3.502407,2.72897,2.71458,3.016889,2.918526,2.961759,3.608695,3.40945,3.133427,1.981803,2.582846,2.987687,2.291425,2.518718,2.482185,2.245001,1.953291,2.344895,2.182026,2.439806,2.004774,1.979204,2.167654,2.16944,1.71305,2.289557,1.754096,1.45374,1.768546,2.122883,blues
19.702089,11.990898,8.494229,8.038366,8.429038,6.754197,6.966568,5.379634,9.013588,6.733482,6.161079,4.522956,5.191124,4.319757,4.401323,4.463743,6.189659,5.759569,4.780367,3.699357,4.122397,3.313154,3.697991,2.68298,3.493034,3.380246,3.328618,4.491425,2.762347,2.476793,2.788414,2.346753,2.502907,2.219499,2.453205,2.515334,1.693653,2.627608,1.973914,2.093273,1.784526,2.059004,1.927564,2.007494,1.944798,2.342704,1.92781,1.52793,1.652931,1.86026,1.898468,1.396764,1.670954,1.36775,1.40547,1.753437,1.72538,1.376875,1.752986,1.255299,blues
5.34307,9.721876,5.049163,4.808252,3.967853,4.229237,3.91665,5.282351,3.877786,5.178492,3.513499,4.006121,3.318314,3.107913,4.559002,6.902505,11.210007,4.627414,3.090474,3.307693,2.639742,2.121447,2.814982,2.213942,5.141037,2.141365,2.302901,2.053971,2.074389,1.728718,1.770664,2.095845,5.394336,2.19809,2.453763,1.777803,1.681637,1.594873,1.415891,1.524692,1.833407,2.279316,1.600443,1.292445,1.630671,1.415982,1.652675,1.665933,2.374367,4.547171,1.824427,1.557863,1.34783,1.153505,1.308897,1.375933,1.31996,2.092108,1.669015,1.009191,blues
14.955021,14.89886,8.080732,9.287747,8.23832,5.226911,5.258014,6.786217,4.559465,4.934898,4.051249,4.019449,3.022268,3.289926,3.364096,3.800324,2.703772,2.576154,3.074655,2.640533,2.137676,2.450562,2.874681,3.13255,2.2066,2.181782,2.198554,1.654796,1.506213,1.531106,1.728685,1.708619,1.576987,1.603209,1.99726,1.463374,2.023467,1.618832,1.595873,1.567459,1.80698,2.010611,1.541655,1.282201,1.542635,1.499903,1.149153,1.037059,1.286198,1.317866,1.076473,1.086969,0.913009,0.927846,1.091568,0.911339,1.01123,0.982663,1.173347,0.796515,blues
