@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_rlf

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.108688,0.072604,0.028437,0.033609,blues
0.070323,0.083355,0.044507,0.060078,blues
0.111298,0.055796,0.027081,0.034016,blues
0.07924,0.13846,0.053662,0.121188,blues
0.1626,0.078449,0.073828,0.039057,blues
0.163062,0.079715,0.13681,0.070349,blues
0.109,0.076864,0.054769,0.037986,blues
0.077764,0.049989,0.045774,0.028432,blues
0.0923,0.082581,0.029423,0.043573,blues
0.115005,0.09364,0.044273,0.055425,blues
0.090653,0.049704,0.026958,0.043529,blues
0.128326,0.191474,0.111331,0.128201,blues
0.115968,0.082309,0.078299,0.047627,blues
0.076345,0.079875,0.056242,0.073625,blues
0.225006,0.275497,0.165727,0.15638,blues
0.10248,0.101986,0.055697,0.090227,blues
0.113554,0.143066,0.052764,0.096095,blues
0.088967,0.103562,0.048958,0.078684,blues
0.097897,0.141453,0.063286,0.101876,blues
0.076428,0.0603,0.044628,0.053698,blues
0.065311,0.064081,0.028177,0.056369,blues
0.092019,0.115031,0.06521,0.084419,blues
0.098668,0.117295,0.062221,0.103652,blues
0.073488,0.04686,0.053552,0.045984,blues
0.068984,0.070038,0.045579,0.063727,blues
0.064191,0.052578,0.048856,0.045054,blues
0.071878,0.06156,0.054761,0.056259,blues
0.090321,0.051918,0.065019,0.039452,blues
0.068509,0.042162,0.042092,0.028888,blues
0.067755,0.090758,0.046404,0.08664,blues
0.051412,0.063328,0.032161,0.071147,blues
0.053109,0.059965,0.032154,0.069029,blues
0.050454,0.065269,0.045261,0.083127,blues
0.054537,0.06336,0.03786,0.077461,blues
0.051921,0.053371,0.022268,0.043276,blues
0.057674,0.052023,0.0232,0.047688,blues
0.039414,0.030959,0.016808,0.038216,blues
0.060142,0.044631,0.037856,0.034819,blues
0.047629,0.048752,0.033287,0.069434,blues
0.039421,0.035753,0.022325,0.044867,blues
0.146495,0.121224,0.053512,0.028681,blues
0.157671,0.129698,0.059839,0.051205,blues
0.174041,0.096663,0.065644,0.024407,blues
0.1138,0.091256,0.05009,0.022137,blues
0.127878,0.094749,0.046279,0.038037,blues
0.024334,0.019697,0.006717,0.01767,blues
0.057219,0.097351,0.02449,0.047273,blues
0.064031,0.07829,0.026451,0.037279,blues
0.147947,0.097098,0.056684,0.022033,blues
0.044387,0.059247,0.033248,0.045953,blues
0.125084,0.088934,0.053185,0.033979,blues
0.182773,0.081487,0.033715,0.02312,blues
0.088334,0.094073,0.054572,0.046364,blues
0.215348,0.087397,0.060234,0.033498,blues
0.171999,0.0941,0.054486,0.029103,blues
0.195409,0.106532,0.063501,0.042387,blues
0.117186,0.121218,0.057005,0.059749,blues
0.134577,0.093745,0.043619,0.022355,blues
0.185372,0.106323,0.064513,0.040954,blues
0.236471,0.10838,0.069026,0.033558,blues
0.147484,0.076466,0.063742,0.01715,blues
0.293373,0.131645,0.063708,0.023144,blues
0.196722,0.118074,0.092086,0.033449,blues
0.284919,0.146999,0.087775,0.037999,blues
0.275385,0.109522,0.042204,0.022996,blues
0.269079,0.126756,0.088854,0.031996,blues
0.201425,0.129588,0.082012,0.041285,blues
0.183488,0.106243,0.060217,0.033084,blues
0.231212,0.130057,0.048594,0.027928,blues
0.199828,0.111869,0.080835,0.027534,blues
0.151197,0.090765,0.055543,0.0404,blues
0.235343,0.109536,0.04447,0.017744,blues
0.202779,0.147362,0.095031,0.042972,blues
0.153681,0.087758,0.035458,0.020451,blues
0.180754,0.137228,0.040527,0.028879,blues
0.17662,0.138888,0.071281,0.054828,blues
0.225844,0.119727,0.05307,0.037422,blues
0.171674,0.096539,0.043371,0.030042,blues
0.197809,0.081707,0.032058,0.018185,blues
0.200851,0.096951,0.043621,0.037189,blues
0.139244,0.07438,0.034847,0.022115,blues
0.207086,0.071209,0.038038,0.014617,blues
0.156683,0.067477,0.030289,0.021597,blues
0.200621,0.122521,0.038367,0.042369,blues
0.178961,0.08384,0.032713,0.048173,blues
0.087528,0.060532,0.049853,0.031449,blues
0.084801,0.120775,0.053561,0.079883,blues
0.068291,0.077961,0.036934,0.060079,blues
0.035015,0.041359,0.01065,0.045141,blues
0.06862,0.121235,0.064006,0.129359,blues
0.095525,0.125821,0.046254,0.056406,blues
0.06672,0.112928,0.036661,0.08027,blues
0.058218,0.087083,0.052082,0.093291,blues
0.042067,0.064327,0.027966,0.082879,blues
0.098284,0.091807,0.085728,0.067672,blues
0.081505,0.077339,0.034495,0.060009,blues
0.062475,0.036675,0.034918,0.047882,blues
0.075273,0.089378,0.03024,0.053571,blues
0.224964,0.111846,0.076963,0.031611,blues
0.09995,0.051225,0.053533,0.032062,blues
0.132201,0.036125,0.022262,0.015705,classical
0.10648,0.026259,0.02129,0.015287,classical
0.118038,0.02995,0.022536,0.011961,classical
0.150273,0.039229,0.057287,0.020555,classical
0.163391,0.050398,0.041301,0.01797,classical
0.113657,0.047066,0.036028,0.019076,classical
0.114973,0.04821,0.041129,0.027705,classical
0.130942,0.066892,0.14894,0.099594,classical
0.104082,0.044353,0.032617,0.013056,classical
0.074952,0.036894,0.040913,0.039912,classical
0.108281,0.039481,0.0379,0.017348,classical
0.087242,0.026919,0.028582,0.013125,classical
0.11908,0.061707,0.106251,0.10126,classical
0.123332,0.04695,0.042854,0.017938,classical
0.10687,0.041892,0.03047,0.015571,classical
0.139445,0.086847,0.091823,0.108527,classical
0.065205,0.042003,0.053954,0.083498,classical
0.110796,0.030269,0.021112,0.013242,classical
0.107892,0.045795,0.054894,0.046538,classical
0.143163,0.115213,0.160588,0.155019,classical
0.101042,0.037002,0.030851,0.013409,classical
0.117291,0.042119,0.038379,0.014508,classical
0.11578,0.04905,0.044242,0.085469,classical
0.0831,0.053884,0.114789,0.10899,classical
0.096969,0.027804,0.019827,0.008691,classical
0.095559,0.031933,0.024943,0.010763,classical
0.118,0.027815,0.021893,0.011917,classical
0.077142,0.019475,0.020245,0.009199,classical
0.110389,0.030125,0.02839,0.010762,classical
0.135755,0.042907,0.054945,0.015263,classical
0.108231,0.047225,0.040424,0.015904,classical
0.057987,0.0264,0.018581,0.013754,classical
0.044062,0.011941,0.010766,0.004608,classical
0.096412,0.062514,0.065,0.103943,classical
0.111901,0.041848,0.062796,0.021819,classical
0.102443,0.040021,0.071226,0.020818,classical
0.090825,0.042846,0.056122,0.042107,classical
0.146007,0.051831,0.065371,0.017568,classical
0.108533,0.037769,0.036028,0.015528,classical
0.160737,0.081877,0.078765,0.093573,classical
0.101968,0.030988,0.031616,0.015057,classical
0.117477,0.041431,0.051193,0.027358,classical
0.132956,0.024087,0.018578,0.009119,classical
0.063925,0.018626,0.017051,0.011105,classical
0.104335,0.035901,0.024963,0.015815,classical
0.083304,0.022702,0.015217,0.007869,classical
0.168394,0.042155,0.036431,0.019082,classical
0.084709,0.023703,0.020811,0.010098,classical
0.155883,0.048342,0.072439,0.019411,classical
0.154156,0.04541,0.039465,0.01598,classical
0.060117,0.034483,0.02123,0.053839,classical
0.162281,0.073041,0.246553,0.111798,classical
0.19195,0.114771,0.062401,0.057075,classical
0.134964,0.035217,0.022378,0.011693,classical
0.17025,0.054165,0.050463,0.03527,classical
0.084225,0.030894,0.038889,0.019103,classical
0.144735,0.040076,0.034503,0.015414,classical
0.142176,0.069543,0.064959,0.069378,classical
0.122721,0.036993,0.025002,0.049672,classical
0.149883,0.049665,0.036363,0.014783,classical
0.145691,0.044635,0.03779,0.012566,classical
0.103908,0.049826,0.027448,0.038768,classical
0.108039,0.061594,0.053838,0.043351,classical
0.040875,0.00643,0.006993,0.002908,classical
0.049561,0.009393,0.014227,0.00489,classical
0.054185,0.013235,0.016078,0.00698,classical
0.050486,0.009883,0.012586,0.007238,classical
0.078972,0.064579,0.09959,0.123244,classical
0.128739,0.026585,0.018169,0.015046,classical
0.120408,0.024444,0.020048,0.011106,classical
0.134259,0.067039,0.121807,0.097759,classical
0.113332,0.05021,0.044881,0.060324,classical
0.10613,0.068671,0.056758,0.078671,classical
0.094511,0.035987,0.026257,0.026011,classical
0.096713,0.040888,0.030337,0.027619,classical
0.100603,0.053573,0.051589,0.062366,classical
0.102156,0.033739,0.028486,0.009027,classical
0.058337,0.012923,0.02026,0.012093,classical
0.050537,0.009886,0.008749,0.006719,classical
0.064523,0.014877,0.017392,0.006641,classical
0.219653,0.189514,0.245783,0.21431,classical
0.07924,0.03816,0.020275,0.035306,classical
0.121869,0.030908,0.049463,0.014071,classical
