@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_scf

@attribute Mean_Acc1000_Mean_Mem40_SCF_1_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_3_f2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_4_f3 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5_f4 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_6_f5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_7_f6 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_8_f7 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_9_f8 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_10_f9 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_11_f10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_12_f11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_13_f12 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_14_f13 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_15_f14 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_16_f15 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_17_f16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_18_f17 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_19_f18 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_20_f19 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_21_f20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_22_f21 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_23_f22 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_24_f23 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1_f24 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_2_f25 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3_f26 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4_f27 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_5_f28 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_6_f29 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_7_f30 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8_f31 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_9_f32 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_10_f33 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_11_f34 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_12_f35 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_13_f36 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_14_f37 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_15_f38 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_16_f39 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_17_f40 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_18_f41 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_19_f42 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_20_f43 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_21_f44 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_22_f45 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_23_f46 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_24_f47 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1_f48 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2_f49 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3_f50 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_4_f51 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5_f52 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_6_f53 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_7_f54 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_8_f55 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9_f56 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_10_f57 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_11_f58 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_12_f59 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_13_f60 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_14_f61 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_15_f62 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_16_f63 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_17_f64 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_18_f65 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_19_f66 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_20_f67 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21_f68 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_22_f69 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_23_f70 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_24_f71 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1_f72 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2_f73 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3_f74 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4_f75 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_5_f76 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_6_f77 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_7_f78 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8_f79 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9_f80 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_10_f81 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_11_f82 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_12_f83 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_13_f84 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_14_f85 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_15_f86 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_16_f87 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_17_f88 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_18_f89 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_19_f90 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_20_f91 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_21_f92 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_22_f93 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_23_f94 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_24_f95 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
1.462151,1.947309,1.959379,2.41133,2.379107,2.63062,2.983376,2.848272,3.634688,3.746774,4.22915,4.626406,4.715851,5.096637,5.305794,5.684016,4.438739,4.906808,5.447773,6.93237,9.796759,0.9805,0.9805,0.9805,0.291496,0.461717,0.447299,0.597419,0.602951,0.698815,0.863937,0.834024,1.070539,1.201694,1.468307,1.753246,1.845705,1.970858,2.167669,2.425137,1.449903,1.642691,1.999011,2.672924,4.323155,0.015642,0.015642,0.015642,0.187029,0.271388,0.298802,0.32829,0.430025,0.388424,0.42218,0.42822,0.528901,0.550082,0.650727,0.85052,0.815135,0.910482,1.052656,1.110385,0.560531,0.6337,0.809744,0.86039,1.784868,0.111612,0.111612,0.111612,0.069196,0.093147,0.107089,0.146434,0.131091,0.137411,0.175745,0.18949,0.246224,0.273486,0.299935,0.455774,0.545489,0.325445,0.639209,0.706297,0.339703,0.355496,0.549309,0.601596,1.110528,0.080111,0.080111,0.080111,blues
1.496997,1.995198,1.895319,2.416637,2.252217,2.671658,2.849395,2.851149,3.464979,3.75033,4.136001,4.134447,4.432538,4.89502,5.275962,6.279717,4.929312,5.345672,5.533284,6.270445,9.436278,0.9805,0.9805,0.9805,0.293443,0.455158,0.42137,0.602635,0.560261,0.717336,0.785895,0.824221,1.02539,1.102199,1.427237,1.461609,1.652927,1.921872,2.147929,2.502314,1.921663,2.104243,2.011233,2.39842,3.969285,0.015642,0.015642,0.015642,0.191072,0.273883,0.256783,0.418955,0.303583,0.424203,0.461725,0.439217,0.613382,0.63038,0.896058,0.817259,0.844608,0.957348,1.235027,1.908795,1.254635,1.195456,0.840424,0.955068,1.723947,0.111612,0.111612,0.111612,0.077982,0.101269,0.113695,0.10323,0.131443,0.153168,0.152936,0.168662,0.227181,0.228729,0.345136,0.343506,0.434066,0.553899,0.676783,0.863652,1.084032,0.825623,0.360933,0.567673,1.343655,0.080111,0.080111,0.080111,blues
1.563274,1.811026,1.997289,2.094188,2.284962,2.499124,3.011937,3.002659,3.5118,3.613585,4.353187,4.404198,4.8228,5.56046,5.990737,6.179042,5.780326,5.808528,5.986798,6.473045,8.722627,0.9805,0.9805,0.9805,0.2959,0.421706,0.505109,0.514056,0.60098,0.666736,0.895344,0.840793,0.997509,1.127193,1.537656,1.457084,1.666028,2.268193,2.503889,2.492628,2.485166,2.367273,2.437982,2.874228,3.631858,0.015642,0.015642,0.015642,0.199972,0.233028,0.272047,0.273771,0.33768,0.345117,0.53719,0.43603,0.54007,0.486725,0.695855,0.634914,0.773442,0.881177,1.108602,1.167907,0.9203,1.189279,0.955698,1.195379,1.200186,0.111612,0.111612,0.111612,0.083843,0.108915,0.097914,0.135553,0.135143,0.125008,0.208951,0.202795,0.170092,0.20125,0.337047,0.273628,0.307957,0.474166,0.444396,0.544476,0.690481,0.804823,0.753991,0.913647,1.042068,0.080111,0.080111,0.080111,blues
1.486596,1.786467,1.932138,2.092416,2.170374,2.388468,2.923249,2.826788,3.328717,3.456794,3.877507,4.142495,4.381318,4.616126,5.160232,4.739377,4.690085,4.69326,4.802229,5.136651,7.072445,0.9805,0.9805,0.9805,0.290262,0.408822,0.47432,0.522824,0.589506,0.56827,0.869391,0.793626,1.073317,1.058472,1.27844,1.359111,1.508145,1.612384,2.056299,1.71147,1.696098,1.655958,1.703264,1.73893,2.57243,0.015642,0.015642,0.015642,0.188396,0.234352,0.295277,0.292358,0.365716,0.361218,0.472695,0.398853,0.531269,0.540502,0.73475,0.837238,1.000656,0.874929,1.158672,1.131698,0.948277,0.98111,0.84381,0.931069,1.127039,0.111612,0.111612,0.111612,0.073573,0.117937,0.087238,0.147275,0.162466,0.176164,0.243037,0.186012,0.241606,0.20797,0.298848,0.411388,0.465752,0.391255,0.694417,0.52569,0.633462,0.706016,0.602106,0.486916,0.56935,0.080111,0.080111,0.080111,blues
1.402959,1.997124,1.916952,2.139018,2.423538,2.858005,3.232974,3.130697,3.849137,4.02146,4.925194,5.033898,5.113054,5.933242,6.767732,7.362402,7.805638,8.023761,8.290136,8.731623,9.781597,0.9805,0.9805,0.9805,0.290546,0.465807,0.456983,0.506594,0.642935,0.696198,0.902992,0.821954,1.230256,1.278463,1.760362,1.738246,1.921429,2.368624,2.734913,3.085244,3.580707,4.042798,4.208579,4.647647,4.131635,0.015642,0.015642,0.015642,0.176633,0.283054,0.223616,0.372745,0.326454,0.470564,0.484753,0.546308,0.59928,0.793081,0.719464,0.921025,0.911326,1.208426,1.768328,1.909178,1.865088,2.347351,2.650887,2.084441,1.99126,0.111612,0.111612,0.111612,0.080009,0.115089,0.118163,0.157382,0.158741,0.158285,0.186292,0.170104,0.278839,0.405936,0.353425,0.338552,0.362687,0.552046,0.590394,0.675874,0.950986,1.511726,1.59429,1.278934,1.28978,0.080111,0.080111,0.080111,blues
1.384154,2.192007,1.858895,2.321681,2.365688,2.686324,3.020246,2.933347,3.843386,3.829427,4.574282,4.66833,5.388282,5.467226,6.969826,6.43751,6.525823,6.847554,7.049422,9.397437,11.071565,0.9805,0.9805,0.9805,0.231604,0.474893,0.448767,0.593345,0.571972,0.718603,0.76464,0.711286,1.154905,1.088007,1.560446,1.603404,2.039582,1.971901,2.85741,2.477909,2.503293,2.670538,2.996444,4.388992,5.007331,0.015642,0.015642,0.015642,0.216166,0.377296,0.31642,0.441188,0.413562,0.608067,0.541252,0.486505,0.700871,0.674106,0.952104,0.889484,1.178472,1.140954,1.894364,1.775365,1.479122,1.584593,1.550558,2.758501,3.610293,0.111612,0.111612,0.111612,0.10262,0.107301,0.104854,0.172593,0.178432,0.229893,0.210127,0.184788,0.339056,0.227983,0.357766,0.360492,0.74842,0.451781,0.874433,0.717997,0.661546,0.89913,0.992922,1.359328,1.984284,0.080111,0.080111,0.080111,blues
1.675,2.131684,2.193408,2.371027,2.38895,2.793144,3.301775,3.153299,3.655317,3.974791,4.465557,4.505991,5.129045,5.967172,6.680394,6.171591,6.129282,5.335176,5.800268,6.695321,8.167096,0.9805,0.9805,0.9805,0.261135,0.441719,0.441493,0.563626,0.597626,0.694082,0.907092,0.864051,1.103761,1.188378,1.348989,1.49171,1.822335,2.15053,2.554612,2.568643,2.681336,2.150777,2.606904,3.07241,3.832024,0.015642,0.015642,0.015642,0.223582,0.335607,0.333387,0.417347,0.366113,0.440077,0.572016,0.499634,0.593685,0.685936,0.700562,0.747858,0.944131,1.344326,1.173777,1.502268,1.452649,1.226828,1.81611,2.645262,3.139711,0.111612,0.111612,0.111612,0.10055,0.111125,0.130229,0.170134,0.15808,0.160147,0.252804,0.223647,0.273483,0.288164,0.384502,0.456115,0.37081,0.46672,0.549148,0.647656,0.789212,0.63888,1.359657,1.456495,1.651744,0.080111,0.080111,0.080111,blues
1.611076,2.064392,2.042208,2.121076,2.47148,2.626726,2.960833,2.778422,3.381398,3.715892,4.048564,4.476239,5.302785,6.645812,6.326249,6.073908,6.029014,6.288588,7.214098,7.514876,9.121341,0.9805,0.9805,0.9805,0.276728,0.464518,0.44593,0.48935,0.660478,0.645192,0.842593,0.790335,0.859189,1.066734,1.242876,1.555367,1.674759,2.362293,2.472068,2.408595,2.597955,2.755016,3.289975,3.760638,5.121402,0.015642,0.015642,0.015642,0.236349,0.274362,0.276674,0.277709,0.384667,0.368532,0.457675,0.394389,0.589844,0.621403,0.552853,0.711343,0.961975,1.398349,1.0204,1.045003,1.354552,1.123943,1.514776,1.500518,2.549085,0.111612,0.111612,0.111612,0.088848,0.116628,0.0943,0.144059,0.112229,0.139477,0.14743,0.163005,0.257667,0.274043,0.251879,0.29775,0.348423,0.503521,0.441077,0.744354,0.847496,0.716909,0.934656,1.198984,1.669966,0.080111,0.080111,0.080111,blues
1.583028,1.838793,1.922625,2.063188,2.306203,2.858912,2.818072,2.765745,3.331845,3.393706,4.890592,5.732993,4.821431,4.782001,6.140875,5.819539,5.407758,5.542059,5.842294,6.52416,12.232342,0.9805,0.9805,0.9805,0.293797,0.453171,0.496299,0.478596,0.597699,0.907187,0.675839,0.77409,0.952481,1.102565,1.743919,1.978747,1.831583,1.729692,2.529473,2.431677,1.968606,1.96354,2.082475,2.549759,4.397752,0.015642,0.015642,0.015642,0.208261,0.229036,0.26559,0.252446,0.318324,0.389384,0.346223,0.361434,0.439195,0.446491,0.740767,0.846897,0.651496,0.651698,0.941487,1.349958,0.839349,0.763734,0.845195,0.929946,1.657939,0.111612,0.111612,0.111612,0.078117,0.094389,0.086216,0.104787,0.191328,0.220611,0.19071,0.147981,0.243278,0.172726,0.223359,0.249694,0.520305,0.429514,0.425839,0.694805,0.46086,0.344376,0.543599,0.864241,0.817387,0.080111,0.080111,0.080111,blues
1.491388,2.109187,1.93997,2.609012,2.241282,2.938445,3.104377,3.341138,3.492505,3.923631,4.253321,4.436344,4.734686,5.483022,6.504293,6.850248,6.889658,5.700666,5.727904,7.182008,9.229324,0.9805,0.9805,0.9805,0.273471,0.450291,0.413105,0.619218,0.470576,0.685833,0.732773,0.996008,1.012927,1.229524,1.451018,1.560573,1.628367,1.973497,2.44935,2.695128,2.940682,2.252603,2.293147,3.28799,3.735858,0.015642,0.015642,0.015642,0.206197,0.337242,0.303209,0.446904,0.338642,0.535984,0.526822,0.708314,0.540005,0.706289,0.938105,0.820621,1.058762,1.197944,1.88934,1.950688,2.449763,1.583742,1.394892,2.120008,2.697345,0.111612,0.111612,0.111612,0.087619,0.101857,0.119962,0.182618,0.122496,0.236699,0.178649,0.290392,0.200605,0.350725,0.319519,0.417896,0.354482,0.427487,0.673328,0.78048,1.114974,0.997955,0.960603,1.396247,1.763619,0.080111,0.080111,0.080111,blues
