@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_sfm

@attribute Mean_Acc1000_Mean_Mem40_SFM_1_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_2_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_3_f2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4_f3 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_5_f4 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6_f5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_7_f6 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_8_f7 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_9_f8 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10_f9 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11_f10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_12_f11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_13_f12 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_14_f13 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_15_f14 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16_f15 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_17_f16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_18_f17 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_19_f18 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20_f19 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21_f20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_22_f21 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_23_f22 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_24_f23 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_1_f24 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2_f25 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3_f26 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_4_f27 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_5_f28 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6_f29 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_7_f30 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8_f31 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_9_f32 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10_f33 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11_f34 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_12_f35 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_13_f36 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_14_f37 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_15_f38 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_16_f39 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_17_f40 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_18_f41 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_19_f42 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_20_f43 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_21_f44 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_22_f45 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_23_f46 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_24_f47 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1_f48 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2_f49 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3_f50 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4_f51 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5_f52 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_6_f53 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7_f54 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8_f55 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9_f56 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_10_f57 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_11_f58 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_12_f59 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_13_f60 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14_f61 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_15_f62 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16_f63 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_17_f64 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_18_f65 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_19_f66 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_20_f67 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21_f68 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_22_f69 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_23_f70 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_24_f71 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_1_f72 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2_f73 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3_f74 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4_f75 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5_f76 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_6_f77 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_7_f78 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_8_f79 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_9_f80 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_10_f81 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11_f82 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_12_f83 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_13_f84 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_14_f85 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_15_f86 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_16_f87 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_17_f88 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_18_f89 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_19_f90 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20_f91 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_21_f92 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_22_f93 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_23_f94 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_24_f95 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.775076,0.622543,0.611843,0.494588,0.509112,0.491598,0.464547,0.496506,0.405954,0.404277,0.39212,0.414753,0.413301,0.420494,0.439046,0.437492,0.522248,0.504027,0.48459,0.396972,0.205495,0.9805,0.9805,0.9805,0.219753,0.233899,0.234659,0.227977,0.233374,0.220438,0.20603,0.198334,0.194117,0.186523,0.180465,0.17917,0.16559,0.157484,0.147083,0.149302,0.103214,0.105937,0.100533,0.102398,0.08442,0.015642,0.015642,0.015642,0.101047,0.09651,0.112053,0.079853,0.106951,0.090158,0.085417,0.084948,0.078649,0.08215,0.076365,0.082319,0.076372,0.079137,0.079874,0.06968,0.064051,0.061935,0.060592,0.056509,0.034948,0.111612,0.111612,0.111612,0.049336,0.035396,0.045039,0.030966,0.033738,0.035746,0.028341,0.025348,0.024017,0.024606,0.022776,0.02742,0.019724,0.025219,0.026654,0.026887,0.02843,0.026567,0.027295,0.021519,0.016903,0.080111,0.080111,0.080111,blues
0.747419,0.590207,0.627335,0.497061,0.532563,0.479005,0.468083,0.480074,0.423902,0.399198,0.407853,0.445964,0.434644,0.422415,0.424573,0.384998,0.501456,0.486431,0.47261,0.436245,0.217321,0.9805,0.9805,0.9805,0.229155,0.23325,0.224589,0.230871,0.230752,0.209335,0.204826,0.206291,0.188185,0.181651,0.181485,0.167013,0.162482,0.159367,0.15055,0.150732,0.122194,0.111781,0.112254,0.114968,0.126608,0.015642,0.015642,0.015642,0.102043,0.102925,0.104366,0.13886,0.099811,0.113159,0.11325,0.104824,0.098887,0.114095,0.108218,0.093011,0.091257,0.090345,0.106068,0.106913,0.075597,0.070748,0.063011,0.063914,0.088742,0.111612,0.111612,0.111612,0.052308,0.035016,0.049515,0.037925,0.028471,0.036736,0.030221,0.030783,0.028851,0.027453,0.033231,0.036172,0.037475,0.036367,0.038007,0.042169,0.042884,0.031274,0.029578,0.026903,0.048614,0.080111,0.080111,0.080111,blues
0.686147,0.649301,0.598726,0.596702,0.514072,0.523511,0.464007,0.444499,0.404115,0.40438,0.387956,0.373753,0.359202,0.364046,0.360609,0.375261,0.425702,0.444495,0.443196,0.439841,0.255454,0.9805,0.9805,0.9805,0.250792,0.225512,0.250705,0.22336,0.245518,0.221429,0.212841,0.213657,0.192806,0.187763,0.186967,0.169394,0.16932,0.168125,0.177352,0.160036,0.144819,0.135812,0.130093,0.128988,0.134405,0.015642,0.015642,0.015642,0.114147,0.10401,0.106698,0.111788,0.098491,0.099607,0.083644,0.076324,0.076183,0.066076,0.065338,0.076029,0.071611,0.064068,0.070394,0.072319,0.074107,0.070699,0.063122,0.073758,0.062401,0.111612,0.111612,0.111612,0.03771,0.03715,0.034563,0.029345,0.029064,0.031699,0.028976,0.032658,0.022248,0.023072,0.024477,0.022082,0.022868,0.025618,0.024185,0.026145,0.023696,0.030514,0.027137,0.032288,0.043741,0.080111,0.080111,0.080111,blues
0.758215,0.677508,0.628593,0.612249,0.617363,0.557906,0.502094,0.516064,0.475369,0.474621,0.469475,0.451777,0.466721,0.448874,0.453396,0.486826,0.513221,0.525725,0.527922,0.519536,0.347715,0.9805,0.9805,0.9805,0.223396,0.213233,0.238656,0.21211,0.214704,0.190946,0.19751,0.197954,0.183671,0.173688,0.163538,0.163952,0.158801,0.146554,0.15036,0.12658,0.116097,0.106956,0.105268,0.103011,0.182059,0.015642,0.015642,0.015642,0.103009,0.096594,0.103862,0.101502,0.115275,0.102294,0.097292,0.088783,0.089401,0.089964,0.092168,0.090943,0.094701,0.080897,0.087973,0.083173,0.072681,0.06882,0.068682,0.072345,0.097529,0.111612,0.111612,0.111612,0.051573,0.032164,0.033295,0.032269,0.041374,0.036217,0.033686,0.025742,0.032473,0.032627,0.035784,0.037416,0.041034,0.027808,0.031625,0.034939,0.033766,0.03543,0.035127,0.036276,0.056387,0.080111,0.080111,0.080111,blues
0.811856,0.613033,0.652402,0.591427,0.531784,0.476156,0.432327,0.389199,0.371959,0.340872,0.308963,0.335146,0.362967,0.337897,0.317455,0.309549,0.331952,0.357607,0.377507,0.383262,0.213576,0.9805,0.9805,0.9805,0.20129,0.230792,0.217684,0.209669,0.226341,0.210169,0.198839,0.194316,0.20286,0.193189,0.199465,0.182,0.17766,0.179584,0.17348,0.163835,0.164033,0.1597,0.162531,0.134437,0.111791,0.015642,0.015642,0.015642,0.114546,0.114726,0.093661,0.095703,0.072898,0.092642,0.078721,0.088093,0.081461,0.0938,0.081024,0.088173,0.073454,0.079515,0.107727,0.110375,0.090515,0.096557,0.089288,0.077613,0.067441,0.111612,0.111612,0.111612,0.053453,0.033815,0.033075,0.032485,0.032025,0.027162,0.028263,0.027414,0.028009,0.028699,0.028261,0.026904,0.023915,0.023879,0.03529,0.029945,0.027254,0.030384,0.032122,0.026689,0.03353,0.080111,0.080111,0.080111,blues
0.827665,0.517905,0.655834,0.534341,0.528899,0.485482,0.429513,0.429343,0.329774,0.393687,0.348,0.371436,0.349881,0.34564,0.318187,0.354393,0.363934,0.362101,0.391817,0.322347,0.243297,0.9805,0.9805,0.9805,0.157046,0.240543,0.230351,0.214013,0.219152,0.222791,0.189686,0.190871,0.179531,0.185079,0.169554,0.169341,0.165616,0.162741,0.149603,0.148517,0.146738,0.145201,0.135105,0.137367,0.143707,0.015642,0.015642,0.015642,0.15399,0.163236,0.134778,0.166578,0.158083,0.16061,0.144855,0.128708,0.09094,0.103263,0.101398,0.110193,0.099391,0.099,0.113101,0.116426,0.094878,0.079629,0.085946,0.11031,0.121011,0.111612,0.111612,0.111612,0.090122,0.042774,0.050737,0.057815,0.042777,0.04828,0.031165,0.038316,0.03942,0.034943,0.033023,0.03369,0.032958,0.036387,0.03402,0.037622,0.035138,0.029364,0.031382,0.033908,0.053183,0.080111,0.080111,0.080111,blues
0.572623,0.544693,0.470469,0.499179,0.494883,0.458572,0.377942,0.382991,0.387232,0.354467,0.327683,0.361666,0.335007,0.31556,0.295304,0.378481,0.406926,0.466704,0.4762,0.458399,0.418084,0.9805,0.9805,0.9805,0.259693,0.232147,0.23859,0.215657,0.216747,0.199026,0.201832,0.199469,0.1954,0.186004,0.168852,0.172311,0.170969,0.156174,0.155288,0.158288,0.156801,0.135092,0.133738,0.140263,0.219898,0.015642,0.015642,0.015642,0.136136,0.139392,0.14623,0.1616,0.164904,0.128778,0.123305,0.102151,0.111585,0.098052,0.097426,0.100561,0.102834,0.115507,0.073518,0.115114,0.115376,0.121931,0.127831,0.145814,0.15991,0.111612,0.111612,0.111612,0.047055,0.056438,0.050621,0.044786,0.046173,0.041799,0.046402,0.032954,0.039789,0.03238,0.032517,0.028488,0.027645,0.030714,0.029501,0.037497,0.028817,0.030409,0.035499,0.036888,0.045929,0.080111,0.080111,0.080111,blues
0.63151,0.549911,0.570163,0.560125,0.503268,0.480383,0.484918,0.494367,0.388876,0.361178,0.414559,0.393191,0.322967,0.28177,0.323205,0.367329,0.428099,0.402273,0.396113,0.408693,0.410354,0.9805,0.9805,0.9805,0.248236,0.238539,0.2281,0.215475,0.216959,0.20665,0.192513,0.197535,0.191604,0.178881,0.162942,0.169533,0.161916,0.15285,0.158079,0.143596,0.145993,0.157464,0.152672,0.156909,0.224048,0.015642,0.015642,0.015642,0.153863,0.106654,0.097418,0.101666,0.10899,0.099313,0.094455,0.090173,0.113892,0.097633,0.079454,0.066088,0.073497,0.061941,0.065763,0.097136,0.088077,0.076323,0.073011,0.120249,0.186807,0.111612,0.111612,0.111612,0.046407,0.031532,0.035251,0.029621,0.034563,0.035247,0.028922,0.028493,0.032904,0.030906,0.028357,0.030242,0.025879,0.027639,0.024709,0.026816,0.036667,0.027316,0.026455,0.033291,0.063222,0.080111,0.080111,0.080111,blues
0.666407,0.668946,0.632881,0.609209,0.51296,0.467269,0.406142,0.497365,0.423694,0.485632,0.345367,0.299665,0.392427,0.393153,0.350831,0.422569,0.449308,0.441052,0.446555,0.423223,0.139034,0.9805,0.9805,0.9805,0.25427,0.228846,0.249018,0.222264,0.243818,0.2354,0.208141,0.208016,0.19741,0.188437,0.198463,0.186277,0.179248,0.178342,0.172684,0.14861,0.122674,0.121376,0.11367,0.107381,0.073567,0.015642,0.015642,0.015642,0.116474,0.08885,0.098756,0.096529,0.086024,0.087371,0.074879,0.071509,0.069885,0.069476,0.065117,0.06263,0.069093,0.065979,0.052749,0.085144,0.058354,0.059498,0.058261,0.051367,0.023157,0.111612,0.111612,0.111612,0.044369,0.038569,0.037371,0.029606,0.02778,0.030486,0.02199,0.02762,0.021589,0.022496,0.030148,0.027003,0.024296,0.022249,0.020227,0.032077,0.026245,0.028015,0.025875,0.023867,0.018339,0.080111,0.080111,0.080111,blues
0.749784,0.533183,0.617311,0.42943,0.476373,0.344449,0.383363,0.406202,0.399525,0.385809,0.398297,0.40781,0.401888,0.362134,0.339876,0.341522,0.385663,0.447645,0.465645,0.388607,0.228828,0.9805,0.9805,0.9805,0.210868,0.227039,0.22188,0.22502,0.22293,0.198613,0.212841,0.207993,0.182828,0.191118,0.182743,0.173025,0.155965,0.147182,0.148952,0.14308,0.130667,0.115317,0.114761,0.133239,0.109273,0.015642,0.015642,0.015642,0.151025,0.145131,0.134099,0.15306,0.135997,0.114328,0.127163,0.126302,0.102721,0.109385,0.114064,0.101809,0.120041,0.106279,0.128887,0.124433,0.137513,0.101688,0.087434,0.13509,0.062323,0.111612,0.111612,0.111612,0.064095,0.047137,0.050676,0.040161,0.034861,0.03798,0.040595,0.03706,0.030224,0.029611,0.034621,0.025108,0.028599,0.026571,0.033444,0.034651,0.030468,0.035745,0.034848,0.047155,0.040936,0.080111,0.080111,0.080111,blues
