@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_spfe

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f4 numeric
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f5 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f6 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f7 numeric
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f8 numeric
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f9 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f10 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f11 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.053201,0.108688,0.083033,0.023736,0.072604,0.028666,0.011005,0.028437,0.008923,0.010011,0.033609,0.010872,blues
0.036493,0.070323,0.086068,0.026511,0.083355,0.032362,0.018633,0.044507,0.011362,0.021492,0.060078,0.007051,blues
0.055654,0.111298,0.088887,0.02557,0.055796,0.03277,0.013872,0.027081,0.011658,0.019041,0.034016,0.004756,blues
0.02266,0.07924,0.082793,0.013035,0.13846,0.030949,0.008038,0.053662,0.010965,0.005009,0.121188,0.006563,blues
0.088578,0.1626,0.088599,0.034324,0.078449,0.032721,0.032691,0.073828,0.012348,0.017193,0.039057,0.004993,blues
0.082141,0.163062,0.083909,0.042764,0.079715,0.032785,0.06134,0.13681,0.011338,0.046111,0.070349,0.006544,blues
0.053849,0.109,0.095257,0.029737,0.076864,0.039898,0.023125,0.054769,0.012566,0.019778,0.037986,0.007044,blues
0.042773,0.077764,0.089854,0.017998,0.049989,0.03597,0.020606,0.045774,0.012105,0.016145,0.028432,0.005148,blues
0.042179,0.0923,0.082437,0.023372,0.082581,0.028123,0.010129,0.029423,0.010152,0.008558,0.043573,0.004194,blues
0.058811,0.115005,0.079606,0.030731,0.09364,0.026866,0.019284,0.044273,0.010786,0.023029,0.055425,0.005008,blues
0.053895,0.090653,0.097801,0.016057,0.049704,0.0463,0.017524,0.026958,0.014336,0.007041,0.043529,0.011887,blues
0.033264,0.128326,0.085078,0.031548,0.191474,0.035777,0.015461,0.111331,0.011466,0.026534,0.128201,0.005252,blues
0.057679,0.115968,0.084006,0.028485,0.082309,0.030828,0.033773,0.078299,0.010935,0.019148,0.047627,0.005614,blues
0.038443,0.076345,0.079908,0.020637,0.079875,0.026798,0.020013,0.056242,0.010563,0.016112,0.073625,0.00425,blues
0.031492,0.225006,0.082977,0.019433,0.275497,0.027209,0.023548,0.165727,0.012126,0.014355,0.15638,0.00499,blues
0.05289,0.10248,0.084386,0.029142,0.101986,0.02742,0.031343,0.055697,0.011185,0.021549,0.090227,0.004121,blues
0.046084,0.113554,0.081173,0.026678,0.143066,0.026325,0.02396,0.052764,0.010106,0.015419,0.096095,0.004956,blues
0.03691,0.088967,0.087488,0.020212,0.103562,0.031521,0.01685,0.048958,0.012413,0.011596,0.078684,0.005707,blues
0.039548,0.097897,0.081607,0.020986,0.141453,0.026068,0.029337,0.063286,0.010355,0.019363,0.101876,0.004389,blues
0.047016,0.076428,0.086004,0.021573,0.0603,0.031128,0.02584,0.044628,0.011599,0.018207,0.053698,0.006254,blues
0.037589,0.065311,0.080867,0.018845,0.064081,0.026587,0.013357,0.028177,0.010874,0.009889,0.056369,0.00436,blues
0.041122,0.092019,0.081927,0.025527,0.115031,0.027853,0.031974,0.06521,0.011709,0.023227,0.084419,0.004236,blues
0.041339,0.098668,0.081986,0.023609,0.117295,0.028321,0.02846,0.062221,0.011798,0.02079,0.103652,0.00458,blues
