@relation gtzan_ssd

@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute Feature_15 numeric
@attribute Feature_16 numeric
@attribute Feature_17 numeric
@attribute Feature_18 numeric
@attribute Feature_19 numeric
@attribute Feature_20 numeric
@attribute Feature_21 numeric
@attribute Feature_22 numeric
@attribute Feature_23 numeric
@attribute Feature_24 numeric
@attribute Feature_25 numeric
@attribute Feature_26 numeric
@attribute Feature_27 numeric
@attribute Feature_28 numeric
@attribute Feature_29 numeric
@attribute Feature_30 numeric
@attribute Feature_31 numeric
@attribute Feature_32 numeric
@attribute Feature_33 numeric
@attribute Feature_34 numeric
@attribute Feature_35 numeric
@attribute Feature_36 numeric
@attribute Feature_37 numeric
@attribute Feature_38 numeric
@attribute Feature_39 numeric
@attribute Feature_40 numeric
@attribute Feature_41 numeric
@attribute Feature_42 numeric
@attribute Feature_43 numeric
@attribute Feature_44 numeric
@attribute Feature_45 numeric
@attribute Feature_46 numeric
@attribute Feature_47 numeric
@attribute Feature_48 numeric
@attribute Feature_49 numeric
@attribute Feature_50 numeric
@attribute Feature_51 numeric
@attribute Feature_52 numeric
@attribute Feature_53 numeric
@attribute Feature_54 numeric
@attribute Feature_55 numeric
@attribute Feature_56 numeric
@attribute Feature_57 numeric
@attribute Feature_58 numeric
@attribute Feature_59 numeric
@attribute Feature_60 numeric
@attribute Feature_61 numeric
@attribute Feature_62 numeric
@attribute Feature_63 numeric
@attribute Feature_64 numeric
@attribute Feature_65 numeric
@attribute Feature_66 numeric
@attribute Feature_67 numeric
@attribute Feature_68 numeric
@attribute Feature_69 numeric
@attribute Feature_70 numeric
@attribute Feature_71 numeric
@attribute Feature_72 numeric
@attribute Feature_73 numeric
@attribute Feature_74 numeric
@attribute Feature_75 numeric
@attribute Feature_76 numeric
@attribute Feature_77 numeric
@attribute Feature_78 numeric
@attribute Feature_79 numeric
@attribute Feature_80 numeric
@attribute Feature_81 numeric
@attribute Feature_82 numeric
@attribute Feature_83 numeric
@attribute Feature_84 numeric
@attribute Feature_85 numeric
@attribute Feature_86 numeric
@attribute Feature_87 numeric
@attribute Feature_88 numeric
@attribute Feature_89 numeric
@attribute Feature_90 numeric
@attribute Feature_91 numeric
@attribute Feature_92 numeric
@attribute Feature_93 numeric
@attribute Feature_94 numeric
@attribute Feature_95 numeric
@attribute Feature_96 numeric
@attribute Feature_97 numeric
@attribute Feature_98 numeric
@attribute Feature_99 numeric
@attribute Feature_100 numeric
@attribute Feature_101 numeric
@attribute Feature_102 numeric
@attribute Feature_103 numeric
@attribute Feature_104 numeric
@attribute Feature_105 numeric
@attribute Feature_106 numeric
@attribute Feature_107 numeric
@attribute Feature_108 numeric
@attribute Feature_109 numeric
@attribute Feature_110 numeric
@attribute Feature_111 numeric
@attribute Feature_112 numeric
@attribute Feature_113 numeric
@attribute Feature_114 numeric
@attribute Feature_115 numeric
@attribute Feature_116 numeric
@attribute Feature_117 numeric
@attribute Feature_118 numeric
@attribute Feature_119 numeric
@attribute Feature_120 numeric
@attribute Feature_121 numeric
@attribute Feature_122 numeric
@attribute Feature_123 numeric
@attribute Feature_124 numeric
@attribute Feature_125 numeric
@attribute Feature_126 numeric
@attribute Feature_127 numeric
@attribute Feature_128 numeric
@attribute Feature_129 numeric
@attribute Feature_130 numeric
@attribute Feature_131 numeric
@attribute Feature_132 numeric
@attribute Feature_133 numeric
@attribute Feature_134 numeric
@attribute Feature_135 numeric
@attribute Feature_136 numeric
@attribute Feature_137 numeric
@attribute Feature_138 numeric
@attribute Feature_139 numeric
@attribute Feature_140 numeric
@attribute Feature_141 numeric
@attribute Feature_142 numeric
@attribute Feature_143 numeric
@attribute Feature_144 numeric
@attribute Feature_145 numeric
@attribute Feature_146 numeric
@attribute Feature_147 numeric
@attribute Feature_148 numeric
@attribute Feature_149 numeric
@attribute Feature_150 numeric
@attribute Feature_151 numeric
@attribute Feature_152 numeric
@attribute Feature_153 numeric
@attribute Feature_154 numeric
@attribute Feature_155 numeric
@attribute Feature_156 numeric
@attribute Feature_157 numeric
@attribute Feature_158 numeric
@attribute Feature_159 numeric
@attribute Feature_160 numeric
@attribute Feature_161 numeric
@attribute Feature_162 numeric
@attribute Feature_163 numeric
@attribute Feature_164 numeric
@attribute Feature_165 numeric
@attribute Feature_166 numeric
@attribute Feature_167 numeric
@attribute Feature_168 numeric
@attribute class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@data
1.831865,3.37601,3.409019,3.352607,3.282668,3.207685,2.766401,2.41127,2.071534,2.248952,2.111836,1.74529,2.848368,2.552291,3.179523,2.89551,2.592942,1.92297,1.51768,1.112555,0.941861,0.479273,0.006347,0.001066,0.711424,1.665715,1.761255,2.477113,4.916512,3.682148,3.662085,1.977138,1.615494,1.672985,1.289967,0.741822,2.250972,1.823348,2.509883,1.809638,1.219974,0.583397,0.356457,0.241749,0.248662,0.096611,0.000342,0,0.826367,0.343746,0.358842,1.016449,1.631231,1.103899,1.678782,1.52379,1.963582,1.301636,0.907306,1.33517,0.898421,0.989931,1.048984,1.20508,1.113075,1.372127,1.267796,0.956089,1.28128,1.313742,5.88798,1,3.506357,2.939584,2.877014,4.644722,6.537799,4.103474,5.803181,6.138046,9.495572,5.178601,3.341702,5.2527,3.411458,3.687056,4.165346,4.615025,4.526054,5.147452,4.948513,3.681421,4.967915,4.951811,47.625607,1,1.686227,3.34235,3.368508,3.112141,2.706513,2.754698,2.21707,2.050066,1.742789,1.970268,1.876046,1.550674,2.581154,2.263445,2.81015,2.545855,2.352273,1.732628,1.381584,1.006975,0.847907,0.412831,0.001066,0.001066,0.255182,0.665435,0.696496,0.665178,0.523591,0.577439,0.414543,0.476272,0.47952,0.278892,0.408055,0.435432,0.569525,0.558583,0.793575,0.87751,0.89087,0.794294,0.578871,0.29436,0.206362,0.051654,0.001066,0.001066,4.736734,7.747015,7.924512,10.501588,12.997828,11.054888,10.689237,9.179855,9.693362,8.0488,5.967092,5.375825,7.916267,7.592283,9.909014,8.851891,7.548387,5.204251,4.047091,2.887272,3.017562,1.82681,0.190835,0.001066,blues
1.867722,2.834027,2.991303,2.599244,1.865954,2.08667,1.647178,1.717689,1.333216,1.332716,1.119403,0.977393,1.322057,1.244042,1.623162,1.519308,1.393515,0.891055,0.811109,0.780193,0.712317,0.396261,0.002308,0.001066,1.388331,1.666798,2.358289,2.177366,2.185085,2.969757,1.742937,1.645296,1.139254,1.016039,0.764296,0.695561,1.141572,1.048607,2.268482,1.858511,0.972881,0.360433,0.316492,0.392034,0.404509,0.152857,0.000062,0,0.463659,0.096495,0.514959,0.623682,1.619226,1.477003,1.61827,1.419851,1.735691,1.719659,1.60137,1.994859,1.743065,1.579398,1.873218,1.752403,1.380847,1.365702,0.909728,1.206608,1.273151,1.157492,9.343001,1,2.637232,2.779715,3.443477,3.064859,6.689575,5.442489,6.011891,5.022357,7.542626,8.851966,6.836656,11.174699,7.812731,6.722145,8.666321,7.839281,6.025068,6.15371,3.843101,5.336579,4.85643,4.320856,110.177573,1,1.820179,2.841612,2.929161,2.471159,1.485127,1.560575,1.322566,1.340318,1.066761,1.130882,0.886676,0.809802,1.064587,1.014698,1.208687,1.166789,1.192285,0.764207,0.713919,0.65786,0.571139,0.298361,0.001066,0.001066,0.040171,0.123885,0.255764,0.292185,0.122636,0.057349,0.082948,0.0735,0.056371,0.087895,0.043474,0.048625,0.071764,0.083058,0.122208,0.140387,0.153616,0.058172,0.037049,0.009142,0.002882,0.001066,0.001066,0.001066,5.393321,6.607851,8.920389,7.497733,9.085595,9.772701,7.111433,6.709218,7.32779,6.735602,5.06303,5.641766,6.190076,5.5665,8.69229,7.386185,6.160868,3.917806,3.141654,3.860219,3.322628,1.94001,0.106362,0.001066,blues
2.055398,4.045806,4.223539,4.217341,3.569328,3.357965,3.640351,3.295076,3.417854,3.128541,3.277777,3.050492,3.672945,3.248263,3.286677,2.715948,2.950768,2.232171,1.69598,1.195634,0.8111,0.476644,0.003904,0.001066,0.863905,1.792703,2.629633,2.714699,3.495555,2.612626,3.777943,2.750079,2.872821,3.226656,2.921758,3.116198,4.650802,3.008035,3.461814,2.277771,3.480339,1.10996,0.611408,0.389305,0.20365,0.076906,0.000084,0,0.026077,0.575394,0.563415,0.616422,0.976854,0.789644,1.044695,0.816533,0.631246,0.925741,0.663572,0.876219,0.796842,0.857456,1.022679,1.133996,1.235894,1.069313,0.739895,0.904595,0.889685,0.846002,4.739268,1,2.474775,3.699028,3.039788,3.363558,4.155802,3.657341,4.231169,3.49526,3.283434,3.937899,3.079997,3.539961,3.330598,4.140422,4.431949,4.89845,5.032902,5.101129,4.006164,4.220322,3.727794,3.530186,30.814041,1,2.104489,3.969153,4.033653,4.078371,3.214522,3.060535,3.272108,3.001496,3.208206,2.806482,3.069067,2.731529,3.298704,3.02213,2.974741,2.482891,2.558548,2.033138,1.592399,1.085841,0.733053,0.429511,0.001066,0.001066,0.15676,0.917676,0.833961,0.949668,0.466144,0.512431,0.518858,0.476593,0.479018,0.255199,0.313081,0.218373,0.328295,0.351973,0.382685,0.394292,0.327162,0.328341,0.198416,0.142665,0.088806,0.067951,0.001066,0.001066,4.839225,9.331839,9.807762,10.216753,11.383334,9.242967,10.722583,9.056088,9.903214,10.160098,8.815383,8.694944,11.115369,10.031929,10.701226,9.161361,10.499877,6.659049,4.608219,3.651926,2.488087,1.467246,0.080678,0.001066,blues
3.231243,3.719915,2.791197,2.879471,2.278957,2.071507,2.267293,1.902413,1.505378,1.284221,1.166342,1.114028,1.238944,1.214771,1.309714,1.146487,1.126333,1.002285,0.725305,0.534593,0.390007,0.235241,0.001516,0.001066,3.53763,2.683385,2.116106,2.058882,2.406286,1.526766,1.960788,1.151138,0.798137,0.638676,0.416203,0.489674,0.588523,0.609255,0.894562,0.678358,0.698242,0.475666,0.327332,0.208424,0.136581,0.064094,0.000011,0,0.560903,0.28302,0.73042,0.920054,1.248921,1.16875,1.056015,0.891609,1.259135,1.425541,1.303405,1.414638,1.770998,1.855387,2.485109,2.388184,2.033857,1.275358,1.329005,1.147715,1.317308,1.344784,10.784998,1,2.47677,2.468451,3.420713,4.500925,4.307595,4.682946,3.732303,3.447839,5.268443,5.577257,5.253839,5.695354,7.816605,8.622543,12.011127,10.360087,9.007255,4.932634,5.142739,4.2516,4.584774,4.442034,148.636704,1,2.856905,3.571757,2.553215,2.738235,1.814204,1.817565,1.903904,1.65414,1.280617,1.075885,1.03202,0.943677,1.071152,1.044102,1.061791,0.91273,0.876858,0.848032,0.592464,0.405948,0.275238,0.142053,0.001066,0.001066,0.110784,0.434441,0.381798,0.410848,0.260356,0.283856,0.312468,0.224731,0.170718,0.142209,0.184458,0.148288,0.174055,0.137533,0.195546,0.192552,0.153468,0.110076,0.046569,0.020877,0.012899,0.001576,0.001066,0.001066,8.124623,8.485331,8.167962,8.826638,8.313233,7.233122,7.706611,5.987649,5.501008,4.692659,4.201142,4.424689,5.492661,5.984982,7.012554,5.914283,6.153291,3.749079,3.147495,2.413231,1.762986,1.140881,0.050378,0.001066,blues
0.392854,1.269926,2.496219,2.60007,2.43719,2.754404,2.815374,2.921851,2.148859,2.293646,2.104656,1.62929,2.400291,1.972694,2.102702,2.012499,2.764836,2.026149,1.511154,1.156636,0.635944,0.249521,0.0011,0.001066,0.13935,0.357255,0.973856,1.063294,1.365029,2.468083,1.981978,2.51851,2.265215,2.509884,2.552965,1.790516,3.564739,2.246398,2.349889,2.38305,6.325207,2.184483,1.224843,1.118576,0.415877,0.068889,0,0,1.42892,0.899702,0.444307,0.255349,0.43844,1.215081,0.656527,1.299096,1.582459,1.44583,1.701065,2.099308,2.190291,1.75717,1.869426,1.997145,1.47672,1.469884,1.101989,1.241907,1.420224,1.333972,12.152564,1,4.762976,3.938114,3.042801,2.677537,3.710636,5.231421,3.277297,4.77995,5.884176,5.144027,6.191049,8.513204,9.651482,7.354758,7.228799,9.884057,5.176411,6.439731,3.962862,4.094529,4.975991,4.126489,193.235729,1,0.278648,1.170476,2.416235,2.600792,2.454653,2.431674,2.659377,2.546327,1.711385,1.857319,1.589275,1.217835,1.932482,1.520079,1.642486,1.600678,2.045561,1.685175,1.247106,0.85585,0.415754,0.152833,0.001066,0.001066,0.001066,0.134819,0.415802,0.41535,0.172119,0.387039,0.352784,0.637387,0.196404,0.155184,0.207798,0.11654,0.233105,0.147023,0.236446,0.237786,0.169825,0.151648,0.092294,0.065247,0.045512,0.008519,0.001066,0.001066,1.871841,3.59854,5.686036,5.887601,6.99845,9.859428,7.75845,9.263565,9.02562,8.127485,9.320562,8.672522,11.328178,9.153003,9.26741,10.133701,12.283405,9.283962,5.830473,4.793093,3.205962,1.132534,0.006959,0.001066,blues
0.528167,1.729497,3.392101,3.517218,2.612435,2.870092,2.41713,2.548423,2.033745,1.688095,1.733134,1.377994,1.948189,1.908246,2.375796,1.887177,2.441777,2.21443,1.628211,1.328657,0.905773,0.296639,0.00162,0.001066,0.175901,0.683651,1.683642,2.649064,2.514969,3.272124,2.350541,2.704487,1.524978,1.246682,1.515193,1.371496,1.822968,1.908004,3.066456,1.923485,8.634919,4.777476,2.227517,2.347271,1.082677,0.148476,0.000023,0,1.467845,0.58675,0.060301,0.152374,1.058204,0.945903,1.255711,0.937315,0.821344,0.917786,1.009382,1.509252,1.217974,1.012238,1.14171,1.237463,1.594814,1.698002,1.369874,1.627441,1.771108,1.853576,12.659345,1,6.076907,3.509487,2.932511,2.622525,7.003351,5.018268,5.851508,4.473172,4.28335,4.48461,4.564442,6.802834,5.462907,3.835456,4.282862,4.766631,5.875598,6.323228,4.719738,5.824191,6.737721,7.530184,206.242871,1,0.451572,1.688946,3.353007,3.494617,2.502952,2.700859,2.174609,2.357468,1.91743,1.517016,1.531724,1.141721,1.702376,1.61473,2.029245,1.569406,1.512682,1.64824,1.254646,0.866072,0.588151,0.166088,0.001066,0.001066,0.001702,0.075419,0.270059,0.156389,0.032136,0.159993,0.130831,0.166682,0.071029,0.033644,0.049762,0.031666,0.051009,0.04871,0.100966,0.100016,0.086333,0.088524,0.05343,0.035063,0.023279,0.002293,0.001066,0.001066,2.526774,4.908003,6.746796,8.090929,9.934388,9.487338,8.86649,8.118223,6.869597,6.336743,6.314351,6.609189,7.702228,6.555466,8.81413,7.621227,12.13694,11.544592,6.736865,6.514614,4.516032,1.62133,0.054325,0.001066,blues
0.55401,2.618172,4.296995,3.452551,2.650073,2.980037,2.731236,2.133872,1.84654,1.645512,1.864123,2.435622,3.029533,3.44268,3.647398,2.685784,2.070061,1.78675,1.013491,0.748919,0.437616,0.137345,0.001129,0.001066,0.234167,1.4574,5.080147,3.703033,4.418273,4.928896,4.660231,4.297466,2.767781,2.592858,3.128498,4.659228,7.574332,8.497371,9.845815,6.263185,5.312879,5.029665,1.336594,1.058876,0.472915,0.062813,0.000001,0,1.371325,0.433941,0.409487,0.454826,1.384729,1.24344,1.223564,2.318583,1.780449,1.948096,1.762154,1.492969,1.143129,1.058032,1.296967,1.425233,1.721457,1.918054,1.507813,2.051005,2.273904,2.812613,12.948391,1,7.545254,3.183171,2.610716,2.669916,6.426328,5.839433,5.067303,11.381472,7.802304,8.298089,7.895727,5.772393,3.811954,3.877133,4.598885,5.031021,6.207182,7.097668,6.019231,8.345249,9.45109,13.632368,233.800456,1,0.499314,2.538387,4.284974,3.23476,2.066955,2.4402,2.289774,1.614824,1.469921,1.264971,1.403153,1.8378,2.275097,2.803088,2.872524,1.93019,1.344078,0.961274,0.596185,0.335639,0.108873,0.015627,0.001066,0.001066,0.001066,0.21614,0.260432,0.211353,0.017816,0.052918,0.049301,0.082497,0.029755,0.007717,0.017009,0.021344,0.058993,0.117447,0.093597,0.075679,0.032929,0.015933,0.002197,0.001267,0.001066,0.001066,0.001066,0.001066,3.021329,6.693539,10.968624,8.718203,12.363478,13.184662,11.798451,11.781529,9.236942,9.358335,10.213478,11.200729,12.442093,13.950466,14.676142,12.089144,11.831729,11.39304,4.76648,5.02502,3.162581,1.347136,0.011548,0.001066,blues
0.8645,3.140257,4.783427,3.379937,2.69482,2.552812,2.167788,1.987191,1.579956,1.825572,1.511029,1.7941,2.267194,2.903873,2.765612,2.426529,2.369623,1.63972,1.034076,0.927144,0.546283,0.189248,0.001219,0.001066,0.178994,1.136843,5.010219,2.921185,2.448988,2.250199,2.865948,3.024346,2.092291,2.286282,1.519352,1.60876,4.268554,4.791873,5.553527,5.378166,9.357092,4.88997,1.143582,0.884852,0.31883,0.082167,0.000004,0,0.235299,0.447071,0.786653,0.738358,0.649946,0.999811,1.468326,1.756784,1.568056,1.622069,1.642772,1.634998,1.679444,1.066925,1.769677,1.516008,1.973975,2.222354,1.681567,1.440127,1.375232,1.881438,12.488894,1,2.700888,3.559467,3.833068,3.415471,3.206442,4.487664,5.974425,7.935352,6.85025,6.952913,6.974576,7.871815,7.054957,3.815602,6.802371,5.008141,7.065639,8.552389,6.209155,4.846197,4.879204,6.206019,216.990094,1,0.858349,3.070157,4.489349,3.094242,2.489657,2.287905,1.675363,1.572356,1.224611,1.462665,1.169622,1.515293,1.663908,2.433037,2.081843,1.773564,1.331267,0.857247,0.703719,0.612198,0.366014,0.066428,0.001066,0.001066,0.033234,0.645834,0.691445,0.430872,0.243144,0.196086,0.13791,0.089277,0.101358,0.076124,0.06694,0.073191,0.103139,0.172869,0.224405,0.17438,0.096657,0.086404,0.027202,0.013103,0.003175,0.001066,0.001066,0.001066,2.144326,6.95429,13.604791,9.287032,9.059639,8.755459,8.876665,8.687483,7.705803,8.330863,7.30198,8.480558,11.044847,10.262858,13.011124,10.140885,13.112635,10.367267,5.22728,4.180656,2.626101,1.370591,0.01667,0.001066,blues
2.869849,3.478214,3.807645,2.803548,2.652748,2.463416,2.981031,2.68295,2.014328,1.421367,1.650381,1.717999,3.042636,2.343721,2.956144,2.837813,2.47527,1.853733,1.565839,1.220039,0.964328,0.547477,0.004091,0.001066,1.608653,1.410809,2.145655,1.30411,2.520926,1.465306,2.545479,2.029538,1.243775,0.680644,0.778015,0.72059,2.099065,1.360504,2.079225,1.598716,2.177716,0.685786,0.638945,0.445016,0.265611,0.121967,0.000105,0,0.326461,0.493461,0.439502,0.780897,1.69402,1.026205,0.807522,0.809023,1.137093,1.382647,1.202509,0.953873,0.546453,0.850186,0.86787,0.909091,1.286715,1.060098,1.091628,1.264983,1.530369,1.508575,4.953695,1,3.286822,3.253568,3.142083,3.848584,6.749247,4.467343,3.132789,3.136103,4.974415,6.193066,4.721306,3.864429,2.468048,3.413792,3.406209,3.481633,4.272595,3.620385,3.680681,4.230086,4.800669,4.73078,35.26236,1,2.878329,3.381119,3.732772,2.653691,2.337179,2.246269,2.624437,2.384965,1.865668,1.243884,1.447371,1.556184,2.80405,2.158646,2.679113,2.573684,2.011959,1.620937,1.313584,1.025252,0.811685,0.439435,0.001066,0.001066,0.185268,0.745937,0.640069,0.639807,0.487789,0.401638,0.515904,0.487527,0.301839,0.213088,0.315416,0.3405,0.653249,0.484447,0.764261,0.892037,0.726241,0.730796,0.508499,0.377876,0.336888,0.115585,0.001066,0.001066,7.09588,7.975811,8.769023,7.128474,9.590374,7.754509,8.116538,7.290859,6.894755,5.342461,5.330601,5.122281,7.344862,6.688571,8.273098,7.465857,7.998044,4.814901,4.527836,3.644199,2.764074,1.802208,0.103732,0.001066,blues
0.678309,1.413678,2.278041,2.892046,1.903253,2.67689,2.09997,1.96879,1.615779,1.406156,1.33964,0.901022,1.120323,1.266739,1.66691,2.009766,2.412238,1.783786,1.137327,0.779553,0.595921,0.166398,0.001133,0.001066,0.102369,0.596887,1.993605,3.103574,2.087228,4.45644,4.629867,2.29352,2.152478,1.737177,1.568659,0.463386,0.766171,0.895559,1.636342,3.610408,5.951194,2.927594,0.996807,0.480528,0.31657,0.022192,0.000004,0,0.859642,1.227773,0.926558,0.900037,1.681061,1.312664,1.543688,1.138619,1.70334,2.09431,1.608241,1.55056,1.586627,1.200402,1.46313,1.470921,1.730815,1.982776,1.231287,1.272062,1.467814,2.664896,8.162319,1,5.889451,4.826485,3.772365,3.665559,6.891193,4.423349,5.301195,3.890939,6.385063,9.401142,5.606715,6.150135,6.442202,3.833285,5.185509,4.929203,6.147578,8.70423,4.875529,4.562296,5.415473,12.731494,151.297692,1,0.646893,1.230466,1.934032,2.531334,1.506067,2.038036,1.381556,1.553772,1.085442,1.030689,0.948541,0.708384,0.866265,0.965939,1.279871,1.246288,1.432914,1.196884,0.705029,0.427064,0.283166,0.108144,0.001066,0.001066,0.033471,0.147453,0.220831,0.243891,0.082655,0.228547,0.107947,0.132602,0.098441,0.096791,0.116064,0.086968,0.11761,0.154689,0.266414,0.276443,0.254907,0.266721,0.184488,0.142443,0.108635,0.039824,0.001066,0.001066,2.353459,4.671915,6.951027,9.11766,8.522747,9.895106,9.221446,6.732491,6.746047,7.747021,6.202159,4.045426,4.937324,4.422561,6.68265,8.619487,12.564965,10.9062,5.250849,3.596797,3.001326,0.988265,0.017609,0.001066,blues
