@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_zcrs

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.080684,0.030355,0.015591,0.011697,blues
0.054578,0.033554,0.023426,0.018738,blues
0.073543,0.030186,0.015906,0.021299,blues
0.034687,0.019285,0.012631,0.007777,blues
0.104966,0.036891,0.037517,0.018232,blues
0.098591,0.046967,0.067181,0.042357,blues
0.06628,0.034124,0.02974,0.01964,blues
0.053278,0.022227,0.021818,0.014429,blues
0.065845,0.030025,0.013803,0.010497,blues
0.081389,0.037868,0.022561,0.023372,blues
0.06301,0.017349,0.018557,0.006714,blues
0.046576,0.041603,0.019283,0.027629,blues
0.075413,0.03459,0.03997,0.01864,blues
0.052355,0.0249,0.02527,0.016221,blues
0.04302,0.022905,0.02626,0.015287,blues
0.066896,0.031492,0.033086,0.0197,blues
0.060601,0.028886,0.024927,0.01311,blues
0.050371,0.024644,0.020949,0.011538,blues
0.058084,0.029023,0.032184,0.021327,blues
0.056683,0.024816,0.027717,0.016628,blues
0.053156,0.021745,0.014379,0.009538,blues
0.052828,0.029902,0.039428,0.025223,blues
0.055744,0.029025,0.036498,0.024708,blues
0.05458,0.021842,0.026822,0.015284,blues
0.046955,0.025379,0.023712,0.013718,blues
0.050378,0.02663,0.024989,0.016412,blues
0.052208,0.025652,0.028653,0.013964,blues
0.062576,0.027478,0.034556,0.019895,blues
0.050775,0.02307,0.021459,0.011756,blues
0.054404,0.049767,0.0258,0.045236,blues
0.042588,0.032225,0.015845,0.026751,blues
0.044884,0.031176,0.016283,0.025917,blues
0.04139,0.039243,0.029145,0.049977,blues
0.045191,0.031217,0.019745,0.028572,blues
0.046976,0.027456,0.015029,0.01326,blues
0.048703,0.026034,0.012371,0.016045,blues
0.036319,0.017631,0.010372,0.011502,blues
0.049382,0.027404,0.025126,0.016014,blues
0.044262,0.030868,0.020069,0.03821,blues
0.034126,0.020624,0.013633,0.01973,blues
0.095744,0.03921,0.023437,0.009697,blues
0.10186,0.042162,0.022998,0.015522,blues
0.107158,0.034925,0.032548,0.008541,blues
0.086352,0.036694,0.022769,0.008393,blues
0.091074,0.032443,0.018774,0.010701,blues
0.046382,0.021008,0.008275,0.003468,blues
0.059579,0.033124,0.01433,0.010155,blues
0.072278,0.030203,0.014428,0.009035,blues
0.097929,0.038165,0.023463,0.007968,blues
0.044428,0.026231,0.016978,0.013542,blues
0.087798,0.035976,0.022802,0.010416,blues
0.105559,0.034767,0.01833,0.008506,blues
0.062471,0.04002,0.033235,0.020478,blues
0.134557,0.045981,0.036389,0.010894,blues
0.105703,0.042646,0.026566,0.013863,blues
0.118352,0.046772,0.037854,0.014245,blues
0.068006,0.038942,0.02299,0.013773,blues
0.085728,0.040682,0.021434,0.009171,blues
0.108325,0.041915,0.029766,0.014357,blues
0.154747,0.060356,0.043826,0.014708,blues
0.096419,0.036043,0.030548,0.007938,blues
0.166427,0.061469,0.033621,0.010774,blues
0.115605,0.05089,0.040321,0.021231,blues
0.155385,0.059269,0.03538,0.01761,blues
0.147405,0.043568,0.021936,0.008124,blues
0.141734,0.045378,0.034104,0.016732,blues
0.121036,0.055093,0.038689,0.022047,blues
0.112614,0.042665,0.026263,0.01567,blues
0.135213,0.047359,0.024077,0.011329,blues
0.120598,0.042338,0.035544,0.012898,blues
0.097507,0.03783,0.026154,0.022755,blues
0.136549,0.041527,0.025236,0.010734,blues
0.127879,0.052298,0.035236,0.017781,blues
0.099885,0.03506,0.017912,0.009503,blues
0.116546,0.050543,0.020219,0.017436,blues
